sample_idx,true_label,prefix_state,rank_RL,rank_LLM,rank_FeatFusion,rank_GlobalFusion,logit_RL,logit_LLM,logit_FeatFusion,logit_GlobalFusion,RL_top3,LLM_top3,FeatFusion_top3,GlobalFusion_top3,llm_thinking_process,category,case_score
774,T1591,T1595 || T1595 || T1592 || T1592 || T1589 || T1589 || T1589 || T1590 || T1590,1,129,1,1,10.923009872436523,-15.999137878417969,10.923009872436523,6.077023506164551,T1591 (10.92) | T1598 (9.99) | T1590 (8.17),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1591 (10.92) | T1598 (9.99) | T1590 (8.17),T1591 (6.08) | T1598 (5.03) | T1583 (4.78),nan,cat2_rl_correct_global_stays_correct,19.4107608795166
122,T1213,T1069 || T1057 || T1012 || T1018 || T1518 || T1082 || T1016 || T1016 || T1049 || T1007 || T1124 || T1570 || T1021 || T1021 || T1560 || T1560 || T1213,1,116,1,1,12.112074851989746,-15.160449981689453,12.112074851989746,7.203020095825195,T1213 (12.11) | T1074 (10.02) | T1005 (9.28),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1213 (12.11) | T1074 (10.02) | T1005 (9.28),T1213 (7.20) | T1074 (6.96) | T1005 (5.48),nan,cat2_rl_correct_global_stays_correct,18.572072982788086
1654,T1560,T1560,1,77,1,1,11.182398796081543,-11.962284088134766,11.182398796081543,7.016355991363525,T1560 (11.18) | T1056 (6.79) | T1074 (5.98),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1560 (11.18) | T1056 (6.79) | T1074 (5.98),T1560 (7.02) | T1056 (5.37) | T1074 (3.64),nan,cat2_rl_correct_global_stays_correct,15.373907089233398
191,T1560,T1680 || T1069 || T1069 || T1057 || T1018 || T1016 || T1016 || T1021 || T1021 || T1021 || T1021 || T1550 || T1550 || T1550,1,77,1,1,11.411367416381836,-11.962284088134766,11.411367416381836,7.2041096687316895,T1560 (11.41) | T1557 (9.85) | T1071 (7.21),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1560 (11.41) | T1557 (9.85) | T1071 (7.21),T1560 (7.20) | T1557 (6.19) | T1114 (4.87),nan,cat2_rl_correct_global_stays_correct,15.373907089233398
1423,T1021,T1087 || T1654 || T1518 || T1082 || T1033 || T1007 || T1021,1,74,1,1,13.794516563415527,-11.817142486572266,13.794516563415527,9.184417724609375,T1021 (13.79) | T1550 (7.52) | T1560 (7.49),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1021 (13.79) | T1550 (7.52) | T1560 (7.49),T1021 (9.18) | T1550 (4.98) | T1560 (3.99),nan,cat2_rl_correct_global_stays_correct,15.228765487670898
799,T1071,T1087 || T1087 || T1083 || T1018 || T1518 || T1007 || T1124 || T1080 || T1550 || T1550 || T1560 || T1560 || T1005 || T1039 || T1113 || T1071,1,45,1,1,13.34242057800293,-9.417064666748047,13.34242057800293,9.245712280273438,T1071 (13.34) | T1105 (8.87) | T1114 (6.91),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1071 (13.34) | T1105 (8.87) | T1114 (6.91),T1071 (9.25) | T1105 (5.78) | T1114 (5.05),nan,cat2_rl_correct_global_stays_correct,12.82868766784668
912,T1071,T1027 || T1078 || T1586 || T1110 || T1110 || T1555 || T1040 || T1003 || T1003 || T1003 || T1003 || T1552 || T1552 || T1552 || T1040 || T1560 || T1560 || T1071,1,45,1,1,13.876747131347656,-9.417064666748047,13.876747131347656,9.683860778808594,T1071 (13.88) | T1105 (9.90) | T1590 (7.53),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1071 (13.88) | T1105 (9.90) | T1590 (7.53),T1071 (9.68) | T1105 (6.63) | T1590 (4.16),nan,cat2_rl_correct_global_stays_correct,12.82868766784668
291,T1071,T1053 || T1053 || T1078 || T1547 || T1060 || T1053 || T1053 || T1078 || T1070 || T1027 || T1027 || T1078 || T1083 || T1082 || T1071,1,45,1,1,10.475598335266113,-9.417064666748047,10.475598335266113,6.894918918609619,T1071 (10.48) | T1132 (8.59) | T1105 (8.55),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1071 (10.48) | T1132 (8.59) | T1105 (8.55),T1071 (6.89) | T1105 (5.52) | T1590 (3.86),nan,cat2_rl_correct_global_stays_correct,12.82868766784668
483,T1074,T1003 || T1003 || T1003 || T1087 || T1087 || T1046 || T1018 || T1021 || T1560 || T1560 || T1119 || T1213 || T1213 || T1005 || T1074,1,30,1,1,12.211823463439941,-7.0091657638549805,12.211823463439941,8.752044677734375,T1074 (12.21) | T1114 (8.86) | T1025 (8.78),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1074 (12.21) | T1114 (8.86) | T1025 (8.78),T1074 (8.75) | T1114 (6.65) | T1056 (4.96),nan,cat2_rl_correct_global_stays_correct,10.42078971862793
137,T1567,T1213 || T1213 || T1005 || T1025 || T1071 || T1071 || T1071 || T1105 || T1090 || T1090 || T1102 || T1102 || T1567,1,22,1,1,14.29668140411377,-5.986304759979248,14.29668140411377,10.645744323730469,T1567 (14.30) | T1486 (12.98) | T1485 (10.61),T1059 (3.41) | T1078 (0.98) | T1110 (0.45),T1567 (14.30) | T1486 (12.98) | T1485 (10.61),T1567 (10.65) | T1486 (8.99) | T1485 (6.42),nan,cat2_rl_correct_global_stays_correct,9.397928237915039
