review_id,generation_status,prefix,kg_context,kg_snippet_ids,reasoning_or_raw_output,predicted_next_ttps,reviewer_id,tactic_judgment,tactic_reason,asset_or_permission_unsupported,asset_permission_reason,kg_traceable,kg_traceability_reason,candidate_1_unsupported,candidate_2_unsupported,candidate_3_unsupported,candidate_4_unsupported,candidate_5_unsupported,candidate_reason
R01,ok,"[""T1566"",""T1056"",""T1190"",""T1068"",""T1056"",""T1030"",""T1090""]",Cobalt Strike uses Domain Fronting | Target ATT&CK ID: T1090.004 | [Cobalt Strike](https://attack.mitre.org/software/S0154) has the ability to accept a value for HTTP Host Header to enable domain fronting.(Citation: Cobalt Strike Manual 4.3 November 2020) ; Play uses Data Transfer Size Limits | Target ATT&CK ID: T1030 | [Play](https://attack.mitre.org/groups/G1040) has split victims' files into chunks for exfiltration.(Citation: CISA Play Ransomware Advisory December 2023)(Citation: Trend Micro Ransomware ... ; Zeus Panda uses Credential API Hooking | Target ATT&CK ID: T1056.004 | [Zeus Panda](https://attack.mitre.org/software/S0330) hooks processes by leveraging its own IAT hooked ...,"[""relationship::relationship--0023f0a7-26ae-40ec-ac6e-9dacf5217fb9"", ""relationship::relationship--017d597b-2268-4760-baf0-0cee23906965"", ""relationship::relationship--01e4bf9a-3d9c-4381-aa9c-cca73376c771""]","[战术阶段评估]前缀最后两步为T1030（数据聚合）和T1090（代理/重定向），表明攻击者已进入数据收集与传输准备阶段，可能处于渗透后期或数据渗出初期。T1030暗示已获取敏感数据并准备批量传输，T1090则用于隐藏通信或数据渗出通道。
[已获资产推演]基于前缀，攻击者已通过T1566（钓鱼）、T1056（输入捕获）、T1190（利用面向公众应用）、T1068（提权）等获得初始访问、凭证和提升权限，并可能已收集到数据（T1030）。当前拥有受控主机、有效凭证、可能的数据存储访问权限，以及通过T1090建立的隐蔽网络通道。
[意图图谱映射]结合KG Context，T1030与Play勒索软件分块渗出数据相关，T1090与Cobalt Strike域前置相关，表明攻击者可能正在为数据渗出或后续横向移动做准备。最后两步开启了数据外传通道，下一步可能涉及实际传输（T1041）、进一步横向移动（T1021）、持久化（T1136）、清理痕迹（T1070）或部署额外工具（T1105）。","[""T1041"", ""T1021"", ""T1136"", ""T1070"", ""T1105""]",,,,,,,,,,,,,
R02,ok,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Moses Staff uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Moses Staff](https://attack.mitre.org/groups/G1009) has used batch scripts that can enable SMB on a compromised host.(Citation: Checkpoint MosesStaff Nov 2021) ; Empire uses Distributed Component Object Model | Target ATT&CK ID: T1021.003 | [Empire](https://attack.mitre.org/software/S0363) can utilize <code>Invoke-DCOM</code> to leverage remote COM execution for ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--046310ee-386b-4ed6-a623-6436341b8b8c"", ""relationship::relationship--04878c23-0ba8-4893-acd7-f0594241b66f""]","[战术阶段评估] 前缀最后两步均为T1021（远程服务），表明攻击者正处于横向移动阶段，通过远程服务协议（如SMB/Admin Shares）在内部网络扩展控制。此前已执行T1005（本地数据收集）、T1552（凭据搜索）、T1135（网络共享发现）、T1018（远程系统发现）和T1003（凭据转储），说明攻击者已收集凭据并识别目标主机，当前正利用这些凭据进行远程访问。

[已获资产推演] 攻击者已获得有效凭据（来自T1003和T1552），并掌握了网络共享和远程系统信息（T1135、T1018）。通过T1021，攻击者已成功建立远程会话，可能已获得对多台主机的访问权限，并可能已部署持久化或执行命令。

[意图图谱映射] 结合KG上下文，T1021.002（SMB/Admin Shares）常用于传播恶意软件或加密文件（如Conti勒索软件）。攻击者可能利用已建立的远程访问进行以下操作：1) 部署勒索软件或恶意负载（T1486或T1105）；2) 进一步收集凭据或敏感数据（T1003或T1552）；3) 创建计划任务或服务以实现持久化（T1053或T1543）；4) 禁用安全工具或关闭防御（T1562）；5) 通过远程命令执行进一步控制（T1059）。因此，下一步最可能涉及这些父技术。","[""T1486"", ""T1105"", ""T1059"", ""T1053"", ""T1562""]",,,,,,,,,,,,,
R03,ok,"[""T1047"",""T1057"",""T1057""]",Epic uses Process Discovery | Target ATT&CK ID: T1057 | [Epic](https://attack.mitre.org/software/S0091) uses the <code>tasklist /v</code> command to obtain a list of processes.(Citation: Kaspersky Turla)(Citation: Kaspersky Turla Aug 2014) ; WarzoneRAT uses Process Discovery | Target ATT&CK ID: T1057 | [WarzoneRAT](https://attack.mitre.org/software/S0670) can obtain a list of processes on a compromised host.(Citation: Check Point Warzone Feb 2020) ; FELIXROOT uses Process Discovery | Target ATT&CK ID: T1057 | [FELIXROOT](https://attack.mitre.org/software/S0267) collects a list of running processes.(Citation: ESET GreyEnergy Oct 2018) ; RedPenguin uses Process Discovery | Target ATT&CK ...,"[""relationship::relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b"", ""relationship::relationship--057815bb-550c-4e00-bfdb-c7e4bf6461cb"", ""relationship::relationship--058c67f3-9345-42be-a433-a4cea314d26d"", ""relationship::relationship--06f0aaf3-c2ff-4d54-8279-2e7f66b5d819""]","[战术阶段评估] 前缀序列为 T1047（Windows 管理规范）后接两次 T1057（进程发现）。最后两步均为 T1057，表明攻击者正在重复进行进程枚举，可能是在侦察目标环境中的安全工具或特定进程。这属于发现阶段（Discovery），但重复执行可能暗示攻击者正在为后续行动收集信息，或确认目标进程的存在。

[已获资产推演] 通过 T1047（WMI），攻击者可能已获得远程执行命令的能力，并可能已拥有一定的权限（如管理员或系统权限）。T1057 的重复执行表明攻击者已能成功枚举进程，因此已掌握目标系统上运行的进程列表，可能包括安全软件、关键业务应用或用户进程。这为后续攻击提供了环境感知能力。

[意图图谱映射] 结合 KG Context，T1057 常被用于识别安全监控工具或特定进程，以规避检测或寻找攻击目标。重复执行可能意味着攻击者正在确认目标进程是否出现，或为后续的进程注入、权限提升、横向移动等做准备。基于此，下一步可能涉及利用进程信息进行攻击，如通过 WMI 执行命令（T1047 的延续）、创建远程进程（T1053）、横向移动（T1021）、收集凭据（T1003）或下载额外工具（T1105）。此外，攻击者可能尝试提升权限（T1068）或禁用安全软件（T1562）。

基于以上分析，预测下一步最可能的父技术为：T1059（命令和脚本解释器，用于执行命令）、T1021（远程服务，用于横向移动）、T1003（OS 凭据转储，用于获取凭据）、T1105（工具传输，用于下载工具）、T1562（削弱防御机制，用于规避检测）。","[""T1059"", ""T1021"", ""T1003"", ""T1105"", ""T1562""]",,,,,,,,,,,,,
R04,ok,"[""T1059"",""T1211"",""T1105""]",POWERSTATS uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [POWERSTATS](https://attack.mitre.org/software/S0223) can retrieve and execute additional [PowerShell](https://attack.mitre.org/techniques/T1059/001) payloads from the C2 server.(Citation: ... ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | Target ATT&CK ID: T1059.005 | [Lokibot](https://attack.mitre.org/software/S0447) has used VBS scripts and XLS macros for execution.(Citation: Talos Lokibot Jan 2021) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: ...,"[""relationship::relationship--ce7b27ac-fff6-4d3c-bceb-50c16f462552"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]","[战术阶段评估] 前缀最后两步为 T1211（Exploitation for Client Execution）和 T1105（Ingress Tool Transfer）。T1211 表明攻击者已利用客户端漏洞执行代码，T1105 则显示攻击者正在从 C2 传输工具或载荷。当前处于执行（Execution）和命令与控制（Command and Control）阶段，攻击者已获得初始执行能力并建立工具传输通道。
[已获资产推演] 攻击者已通过漏洞利用在目标系统上获得代码执行权限，并成功从远程服务器下载工具或恶意载荷。这暗示攻击者已具备在受害主机上运行任意命令的能力，并可能已建立持久化或横向移动的基础。
[意图图谱映射] 结合 KG Context，T1105 常用于下载后续攻击工具，如 PowerShell 脚本或侦察工具。攻击者可能下一步将利用已传输的工具进行系统侦察、权限提升、横向移动或数据收集。基于常见攻击链，下一步可能涉及发现内部网络、收集凭据、执行更多命令或建立持久化。
[预测] 基于上述分析，最可能的下一步父技术包括：T1059（命令和脚本解释器，用于执行下载的脚本）、T1083（文件和目录发现，侦察文件系统）、T1018（远程系统发现，侦察网络）、T1003（OS 凭据转储，收集凭据）、T1057（进程发现，侦察运行进程）。","[""T1059"", ""T1083"", ""T1018"", ""T1003"", ""T1057""]",,,,,,,,,,,,,
R05,ok,"[""T1082"",""T1033"",""T1082"",""T1016"",""T1087"",""T1069"",""T1021"",""T1087"",""T1069"",""T1049"",""T1057"",""T1007"",""T1082"",""T1012"",""T1087"",""T1069"",""T1018"",""T1555"",""T1041"",""T1105"",""T1505"",""T1082"",""T1033"",""T1016"",""T1049"",""T1105"",""T1003"",""T1041"",""T1070"",""T1105"",""T1572"",""T1021"",""T1105"",""T1569""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Pupy uses Service Execution | Target ATT&CK ID: T1569.002 | [Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]","[战术阶段评估] 前缀最后两步为 T1105（Ingress Tool Transfer）和 T1569（System Services），其中 T1569 具体为 T1569.002（Service Execution），表明攻击者正在通过服务执行远程工具，处于横向移动与执行阶段。此前序列包含大量侦察（T1082、T1033、T1016、T1087、T1069、T1049、T1057、T1007、T1012、T1018）和凭证获取（T1555、T1003），以及数据外传（T1041）和持久化（T1505）。整体处于攻击链中后期，已从侦察转向横向移动和命令执行。
[已获资产推演] 攻击者已获取系统信息（T1082）、用户枚举（T1033、T1087）、网络配置（T1016）、权限组枚举（T1069）、网络共享发现（T1021）、系统服务发现（T1007）、远程系统发现（T1018）、凭证转储（T1003）和浏览器凭证获取（T1555）。结合 T1105 下载工具和 T1569 服务执行，攻击者已具备内网横向移动所需的凭证和工具，可能已获得多台主机的控制权。
[意图图谱映射] 最后两步 T1105 和 T1569 表明攻击者正在将工具传输到远程主机并通过服务执行，这通常用于横向移动或部署持久化。结合 KG 上下文，Conti 使用 SMB 共享传播，Pupy 使用 PsExec 执行，Fox Kitten 下载工具，攻击者可能正在利用服务执行进行横向扩散，或为后续加密、数据窃取或持久化做准备。下一步可能继续横向移动（T1021）、执行更多命令（T1059）、提升权限（T1068）、窃取更多凭证（T1003）或建立隧道（T1572）。","[""T1021"", ""T1059"", ""T1068"", ""T1003"", ""T1572""]",,,,,,,,,,,,,
R06,ok,"[""T1087"",""T1018"",""T1482"",""T1016"",""T1069"",""T1134"",""T1003"",""T1560"",""T1567"",""T1569"",""T1047""]",Pupy uses Service Execution | Target ATT&CK ID: T1569.002 | [Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy) ; Sardonic uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Sardonic](https://attack.mitre.org/software/S1085) can use WMI to execute PowerShell commands on a compromised machine.(Citation: Bitdefender Sardonic Aug 2021) ; Meteor uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Meteor](https://attack.mitre.org/software/S0688) can use `wmic.exe` as part of its effort to delete shadow copies.(Citation: Check Point ...,"[""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3""]","[战术阶段评估] 前缀最后两步 T1569（服务执行）和 T1047（Windows 管理规范）表明攻击者已从侦察/权限提升阶段过渡到执行阶段，利用系统服务或 WMI 在远程主机上执行命令，可能用于横向移动或部署持久化。
[已获资产推演] 前缀包含 T1087（账户发现）、T1018（远程系统发现）、T1482（域信任发现）、T1016（网络配置发现）、T1069（权限组发现）等侦察技术，以及 T1134（访问令牌操纵）和 T1003（凭据转储），表明攻击者已获得域内凭据和权限，可能拥有管理员或 SYSTEM 级别访问权限。
[意图图谱映射] 结合 KG 上下文，T1569 和 T1047 常用于执行远程命令，可能用于横向移动或部署后门。攻击者可能利用这些执行能力进行数据收集（如 T1005）、数据渗透（如 T1560/T1567）、或进一步横向移动（如 T1021）。此外，攻击者可能尝试维持访问（如 T1136）或提升权限（如 T1055）。
[预测] 基于当前执行阶段和已获资产，下一步可能包括：利用 WMI 或服务执行进行横向移动（T1021）、收集敏感数据（T1005）、通过命令执行下载更多工具（T1105）、创建新账户维持访问（T1136）、或利用计划任务持久化（T1053）。","[""T1021"", ""T1005"", ""T1105"", ""T1136"", ""T1053""]",,,,,,,,,,,,,
R07,ok,"[""T1078"",""T1105"",""T1542"",""T1059"",""T1105"",""T1027"",""T1027"",""T1059"",""T1562"",""T1140"",""T1027"",""T1059""]",Ursnif uses Command Obfuscation | Target ATT&CK ID: T1027.010 | [Ursnif](https://attack.mitre.org/software/S0386) droppers execute base64 encoded [PowerShell](https://attack.mitre.org/techniques/T1059/001) commands.(Citation: Bromium Ursnif Mar 2017) ; PUNCHBUGGY uses Deobfuscate/Decode Files or Information | Target ATT&CK ID: T1140 | [PUNCHBUGGY](https://attack.mitre.org/software/S0196) has used [PowerShell](https://attack.mitre.org/techniques/T1059/001) to decode base64-encoded assembly.(Citation: ... ; DEADEYE uses Encrypted/Encoded File | Target ATT&CK ID: T1027.013 | [DEADEYE](https://attack.mitre.org/software/S1052) has encrypted its payload.(Citation: Mandiant APT41) ; UNC3886 ...,"[""relationship::relationship--7bb7b19e-83dc-4095-83b5-f647bf5f2800"", ""relationship::relationship--bdd9a384-2d57-4238-bddd-5500e667d620"", ""relationship::relationship--0051db4d-9eb9-4b22-93a5-b6593176da75"", ""relationship::relationship--0057843b-ebe3-43f9-9ae0-90c8bdc802fc""]","[战术阶段评估]最后两步为T1027（混淆）和T1059（命令与脚本解释器），表明攻击者处于执行阶段，正在通过脚本解释器执行混淆后的命令，可能用于部署或进一步操作。
[已获资产推演]前缀包含T1078（有效账户）、T1105（工具传输）、T1542（启动机制）、T1059（命令执行）、T1027（混淆）、T1562（防御规避）、T1140（解码）。攻击者已获得有效账户，传输并部署了工具，建立了持久性，并具备执行命令和规避防御的能力。
[意图图谱映射]结合KG Context，Ursnif和PUNCHBUGGY使用PowerShell执行base64编码命令，DEADEYE加密载荷。最后两步T1027和T1059表明攻击者正在执行混淆的PowerShell命令，可能用于下载下一阶段载荷、提升权限、横向移动或数据收集。下一步可能利用已获得的权限和工具进行横向移动、凭证访问、数据窃取或进一步持久化。","[""T1059"", ""T1105"", ""T1003"", ""T1021"", ""T1078""]",,,,,,,,,,,,,
R08,ok,"[""T1189"",""T1204"",""T1082"",""T1105"",""T1014"",""T1057"",""T1087"",""T1049"",""T1105"",""T1569"",""T1070"",""T1059""]","POWERSTATS uses File Deletion | Target ATT&CK ID: T1070.004 | [POWERSTATS](https://attack.mitre.org/software/S0223) can delete all files on the C:\, D:\, E:\ and, F:\ drives using [PowerShell](https://attack.mitre.org/techniques/T1059/001) Remove-Item ... ; TDTESS uses File Deletion | Target ATT&CK ID: T1070.004 | [TDTESS](https://attack.mitre.org/software/S0164) creates then deletes log files during installation of itself as a service.(Citation: ClearSky Wilted Tulip July 2017) ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | ...","[""relationship::relationship--c18652f6-e25c-4e01-bec2-04204a50cf23"", ""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe""]","[战术阶段评估] 前缀最后两步为 T1070（防御规避-文件删除）和 T1059（执行-命令和脚本解释器）。T1070 表明攻击者正在清理痕迹或删除文件，T1059 表明攻击者正在使用脚本解释器（如 PowerShell）执行命令。这两步结合可能处于防御规避和执行的交叉阶段，攻击者可能在执行恶意脚本的同时清理证据。
[已获资产推演] 前缀包含 T1189（初始访问-水坑攻击）、T1204（用户执行）、T1082（系统信息发现）、T1105（工具传输）、T1014（权限提升-进程注入）、T1057（进程发现）、T1087（账户发现）、T1049（系统网络连接发现）、T1569（系统服务执行）。攻击者已获得初始访问权限，并进行了系统侦察、工具下载、权限提升和进程/账户/网络发现，表明其已具备执行命令和脚本的能力，并可能拥有管理员权限。
[意图图谱映射] 结合 KG Context，T1070 与文件删除相关，T1059 与 PowerShell 执行相关。攻击者可能正在使用 PowerShell 执行恶意操作，同时删除文件以掩盖痕迹。下一步可能转向横向移动、数据收集、持久化或进一步防御规避。基于常见攻击流程，攻击者可能利用已获取的凭据或系统信息进行横向移动，或收集敏感数据，或建立持久化机制。
[意图图谱映射] 结合 KG Context，T1070 与文件删除相关，T1059 与 PowerShell 执行相关。攻击者可能正在使用 PowerShell 执行恶意操作，同时删除文件以掩盖痕迹。下一步可能转向横向移动、数据收集、持久化或进一步防御规避。基于常见攻击流程，攻击者可能利用已获取的凭据或系统信息进行横向移动，或收集敏感数据，或建立持久化机制。","[""T1021"", ""T1003"", ""T1053"", ""T1078"", ""T1105""]",,,,,,,,,,,,,
R09,ok,"[""T1105"",""T1078"",""T1204"",""T1547"",""T1082"",""T1057"",""T1105"",""T1552"",""T1114"",""T1021"",""T1105"",""T1082"",""T1007"",""T1087"",""T1016"",""T1049"",""T1082"",""T1482""]","Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013) ; DarkGate uses System Information Discovery | Target ATT&CK ID: T1082 | [DarkGate](https://attack.mitre.org/software/S1111) will gather various system information such as domain, display adapter ...","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]","[战术阶段评估] 前缀最后两步为 T1082（系统信息发现）和 T1482（域信任发现），均属于发现阶段。攻击者正在收集目标环境的系统与域信任信息，为后续横向移动或权限提升做准备。
[已获资产推演] 前缀包含 T1105（工具传输）、T1078（有效账户）、T1204（用户执行）、T1547（启动或登录自动启动执行）、T1552（不安全的凭据）、T1114（邮箱收集）、T1021（远程服务）等，表明攻击者已获得初始访问权限，并可能已提升权限，掌握有效凭据，且已传输工具至目标。当前处于内网侦察阶段，已获取系统信息、域信任信息，可能已收集凭据和邮件数据。
[意图图谱映射] 结合 KG Context，T1082 和 T1482 的连续使用表明攻击者正在绘制内网拓扑和域结构，以识别高价值目标。下一步可能利用收集的信息进行横向移动（如通过远程服务）、凭据转储、或进一步发现网络共享。攻击者可能已具备域内凭据，意图扩大控制范围。
基于以上，预测下一步最可能的技术包括：T1021（远程服务）用于横向移动，T1003（操作系统凭据转储）以获取更多凭据，T1087（账户发现）以枚举更多账户，T1018（远程系统发现）以定位更多主机，T1550（使用替代认证材料）以利用已获凭据。","[""T1021"", ""T1003"", ""T1087"", ""T1018"", ""T1550""]",,,,,,,,,,,,,
R10,ok,"[""T1113"",""T1112"",""T1140"",""T1003"",""T1105"",""T1570"",""T1021""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including [PsExec](https://attack.mitre.org/software/S0029) directly to endpoints.(Citation: CISA ... ; EvilBunny uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [EvilBunny](https://attack.mitre.org/software/S0396) has downloaded additional Lua scripts from the C2.(Citation: ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9""]","[战术阶段评估] 前缀最后两步为 T1570（横向工具转移）和 T1021（远程服务），表明攻击者已进入横向移动阶段，正在通过远程服务（如 SMB/Windows 管理共享）在内部网络传播。此前 T1003（凭证获取）和 T1105（工具下载）提供了横向移动所需的凭证和工具。
[已获资产推演] 攻击者已获得有效凭证（T1003），并下载了横向移动工具（T1105），同时通过 T1570 将工具转移到其他主机，且已建立远程服务连接（T1021），表明已具备在多个主机上执行命令的能力。
[意图图谱映射] 结合 KG 上下文，Conti 等组织利用 SMB/管理共享进行横向传播，并可能加密文件。因此，下一步可能利用远程服务执行命令（T1569）、创建计划任务/服务（T1053/T1543）、禁用安全工具（T1562）、收集更多凭证（T1003）或部署勒索软件/数据加密（T1486）。","[""T1569"", ""T1053"", ""T1543"", ""T1562"", ""T1486""]",,,,,,,,,,,,,
