annotation_id,source_org,pred_micro_state_text,true_label,pred_top1,true_rank,top1_hit,top5_hit,rr,top5_labels
ms_001,apt29,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=network_configuration ; verb=enumerate,T1016,T1016,1,1,1,1.0,"T1016,T1049,T1069,T1018,T1082"
ms_002,apt29,context=post_compromise_discovery ; constraint=collection_target_not_identified ; target=local_file_data ; verb=collect,T1119,T1105,-1,0,0,0.0,"T1105,T1069,T1018,T1056,T1016"
ms_003,apt29,context=post_compromise_discovery ; constraint=privilege_context_not_enumerated ; target=permission_group_context ; verb=enumerate,T1069,T1069,1,1,1,1.0,"T1069,T1018,T1016,T1134,T1070"
ms_004,apt29,context=execution_on_host ; constraint=user_execution_path_not_established ; target=command_execution_channel ; verb=execute,T1059,T1069,-1,0,0,0.0,"T1069,T1021,T1070,T1003,T1134"
ms_005,apt29,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=system_information ; verb=enumerate,T1082,T1016,11,0,0,0.09090909090909091,"T1016,T1069,T1018,T1049,T1134"
ms_006,apt29,context=post_compromise_discovery ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,T1134,T1134,1,1,1,1.0,"T1134,T1069,T1548,T1018,T1016"
ms_007,apt29,context=valid_user_context ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,T1134,T1134,1,1,1,1.0,"T1134,T1548,T1003,T1069,T1070"
ms_008,apt29,context=post_compromise_discovery ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,T1134,T1134,1,1,1,1.0,"T1134,T1069,T1548,T1018,T1016"
ms_009,apt29,context=post_compromise_discovery ; constraint=persistence_path_not_established ; target=persistence_mechanism ; verb=modify,T1547,T1547,1,1,1,1.0,"T1547,T1070,T1069,T1018,T1016"
ms_010,apt29,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=collect,T1552,T1555,15,0,0,0.06666666666666667,"T1555,T1056,T1003,T1069,T1018"
ms_011,apt29,context=execution_on_host ; constraint=user_execution_path_not_established ; target=local_file_data ; verb=execute,T1204,T1069,-1,0,0,0.0,"T1069,T1070,T1105,T1003,T1134"
ms_012,apt29,context=post_compromise_discovery ; constraint=impact_path_not_established ; target=local_file_data ; verb=disrupt,T1561,T1069,-1,0,0,0.0,"T1069,T1018,T1134,T1016,T1070"
ms_013,apt29,context=post_compromise_discovery ; constraint=collection_target_not_identified ; target=mailbox_data ; verb=collect,T1114,T1069,-1,0,0,0.0,"T1069,T1056,T1018,T1016,T1134"
ms_014,apt29,context=post_compromise_discovery ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=elevate,T1134,T1134,1,1,1,1.0,"T1134,T1548,T1069,T1018,T1016"
ms_015,apt29,context=post_compromise_discovery ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,T1134,T1134,1,1,1,1.0,"T1134,T1069,T1548,T1018,T1016"
ms_016,apt29,context=post_compromise_discovery ; constraint=collection_target_not_identified ; target=local_file_data ; verb=collect,T1005,T1105,-1,0,0,0.0,"T1105,T1069,T1018,T1056,T1016"
ms_017,apt29,context=post_compromise_discovery ; constraint=configuration_modification_path_not_established ; target=system_configuration_store ; verb=query,T1012,T1016,-1,0,0,0.0,"T1016,T1069,T1018,T1033,T1134"
ms_018,apt29,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=network_configuration ; verb=enumerate,T1016,T1016,1,1,1,1.0,"T1016,T1049,T1069,T1018,T1082"
