org_name,plan_id,scenario_id,step_id,step_order,step_title,step_text,attack_technique_ids_raw,attack_technique_ids_parent,source_file,mapping_method,mapping_quality
fin6,fin6,unknown,fin6::1,1,Enumerate AD person objects,"id: e44a39ce-0651-3ddd-8f05-f83aa2ffd657 | name: Enumerate AD person objects | description: Find all person objects and output the results to a text file. | tactic: discovery | technique: attack_id: T1087.002 | name: Account Discovery: Domain Account | cti_source: https://www.fireeye.com/blog/threat-research/2019/04/pick-six-intercepting-a-fin6-intrusion.html | procedure_group: procedure_discovery | procedure_step: 2.1 | platforms: windows: cmd: command: ""#{adfind_exe}"" -f (objectcategory=person) > ad_users.txt
 | payloads: adfind.exe | input_arguments: adfind_exe: description: Path of adfind.exe | type: Path | default: adfind.exe | adfind_url: description: Path to download ADFind zip file | type: URL | default: http://www.joeware.net/downloads/files/AdFind.zip | adfind_zip_hash: description: File hash of the ADFind zip file | type: String | dependency_executor_name: powershell | dependencies: description: Adfind.exe must exist on disk at specified location (#{adfind_exe}) | prereq_command: if (Test-Path ""#{adfind_exe}"") {exit 0} else {exit 1}
 | get_prereq_command: $parentpath = Split-Path ""#{adfind_exe}""; $zippath = ""$parentpath\adfind.zip""
IEX(IWR ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-WebRequestVerifyHash.ps1"")
if(Invoke-WebRequestVerifyHash ""#{adfind_url}"" $zippath ""#{adfind_zip_hash}"") {
Expand-Archive $zippath $parentpath\adfind -Force
Move-Item $parentpath\adfind\adfind.exe ""#{adfind_exe}""
Remove-Item $zippath, $parentpath\adfind -Recurse
}
 | executors: name: command_prompt | command: ""#{adfind_exe}"" -f (objectcategory=person) > ad_users.txt
","[""T1087.002""]","[""T1087""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::2,2,Account Discovery: Domain Account,attack_id: T1087.002 | name: Account Discovery: Domain Account,"[""T1087.002""]","[""T1087""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::3,3,Enumerate AD computer objects,"id: 5b24eef2-7a7f-4d34-8cab-e588074c59bc | name: Enumerate AD computer objects | description: Identify all computer objects and output the results to a text file. | tactic: discovery | technique: attack_id: T1018 | name: Remote System Discovery | cti_source: https://www.fireeye.com/blog/threat-research/2019/04/pick-six-intercepting-a-fin6-intrusion.html | procedure_group: procedure_discovery | procedure_step: 2.2 | platforms: windows: cmd: command: ""#{adfind_exe}"" -f (objectcategory=computer) > ad_computers.txt
 | payloads: adfind.exe | input_arguments: adfind_exe: description: Path of adfind.exe | type: Path | default: adfind.exe | adfind_url: description: Path to download ADFind zip file | type: URL | default: http://www.joeware.net/downloads/files/AdFind.zip | adfind_zip_hash: description: File hash of the ADFind zip file | type: String | dependency_executor_name: powershell | dependencies: description: Adfind.exe must exist on disk at specified location (#{adfind_exe}) | prereq_command: if (Test-Path ""#{adfind_exe}"") {exit 0} else {exit 1}
 | get_prereq_command: $parentpath = Split-Path ""#{adfind_exe}""; $zippath = ""$parentpath\adfind.zip""
IEX(IWR ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-WebRequestVerifyHash.ps1"")
if(Invoke-WebRequestVerifyHash ""#{adfind_url}"" $zippath ""#{adfind_zip_hash}"") {
Expand-Archive $zippath $parentpath\adfind -Force
Move-Item $parentpath\adfind\adfind.exe ""#{adfind_exe}""
Remove-Item $zippath, $parentpath\adfind -Recurse
}
 | executors: name: command_prompt | command: ""#{adfind_exe}"" -f (objectcategory=computer) > ad_computers.txt
","[""T1018""]","[""T1018""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::4,4,Remote System Discovery,attack_id: T1018 | name: Remote System Discovery,"[""T1018""]","[""T1018""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::5,5,Enumerate AD Organizational Units,"id: d30692dd-779f-4a40-b947-de23dabbb033 | name: Enumerate AD Organizational Units | description: Enumerate all Organizational Units (OUs) in the domain of the user running the command and output the results to a text file. | tactic: discovery | technique: attack_id: T1482 | name: Domain Trust Discovery | cti_source: https://www.fireeye.com/blog/threat-research/2019/04/pick-six-intercepting-a-fin6-intrusion.html | procedure_group: procedure_discovery | procedure_step: 2.3 | platforms: windows: cmd: command: ""#{adfind_exe}"" -f (objectcategory=organizationalUnit) > ad_ous.txt
 | payloads: adfind.exe | input_arguments: adfind_exe: description: Path of adfind.exe | type: Path | default: adfind.exe | adfind_url: description: Path to download ADFind zip file | type: URL | default: http://www.joeware.net/downloads/files/AdFind.zip | adfind_zip_hash: description: File hash of the ADFind zip file | type: String | dependency_executor_name: powershell | dependencies: description: Adfind.exe must exist on disk at specified location (#{adfind_exe}) | prereq_command: if (Test-Path ""#{adfind_exe}"") {exit 0} else {exit 1}
 | get_prereq_command: $parentpath = Split-Path ""#{adfind_exe}""; $zippath = ""$parentpath\adfind.zip""
IEX(IWR ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-WebRequestVerifyHash.ps1"")
if(Invoke-WebRequestVerifyHash ""#{adfind_url}"" $zippath ""#{adfind_zip_hash}"") {
Expand-Archive $zippath $parentpath\adfind -Force
Move-Item $parentpath\adfind\adfind.exe ""#{adfind_exe}""
Remove-Item $zippath, $parentpath\adfind -Recurse
}
 | executors: name: command_prompt | command: ""#{adfind_exe}"" -f (objectcategory=organizationalUnit) > ad_ous.txt
","[""T1482""]","[""T1482""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::6,6,Domain Trust Discovery,attack_id: T1482 | name: Domain Trust Discovery,"[""T1482""]","[""T1482""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::7,7,Enumerate AD trust objects,"id: 02a96c18-f700-482d-88a8-bd311f6c41dc | name: Enumerate AD trust objects | description: Performs a full forest search and dumps trust objects to a text file. | tactic: discovery | technique: attack_id: T1482 | name: Domain Trust Discovery | cti_source: https://www.fireeye.com/blog/threat-research/2019/04/pick-six-intercepting-a-fin6-intrusion.html | procedure_group: procedure_discovery | procedure_step: 2.4 | platforms: windows: cmd: command: ""#{adfind_exe}"" -gcb -sc trustdmp > ad_trustdmp.txt
 | payloads: adfind.exe | input_arguments: adfind_exe: description: Path of adfind.exe | type: Path | default: adfind.exe | adfind_url: description: Path to download ADFind zip file | type: URL | default: http://www.joeware.net/downloads/files/AdFind.zip | adfind_zip_hash: description: File hash of the ADFind zip file | type: String | dependency_executor_name: powershell | dependencies: description: Adfind.exe must exist on disk at specified location (#{adfind_exe}) | prereq_command: if (Test-Path ""#{adfind_exe}"") {exit 0} else {exit 1}
 | get_prereq_command: $parentpath = Split-Path ""#{adfind_exe}""; $zippath = ""$parentpath\adfind.zip""
IEX(IWR ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-WebRequestVerifyHash.ps1"")
if(Invoke-WebRequestVerifyHash ""#{adfind_url}"" $zippath ""#{adfind_zip_hash}"") {
Expand-Archive $zippath $parentpath\adfind -Force
Move-Item $parentpath\adfind\adfind.exe ""#{adfind_exe}""
Remove-Item $zippath, $parentpath\adfind -Recurse
}
 | executors: name: command_prompt | command: ""#{adfind_exe}"" -gcb -sc trustdmp > ad_trustdmp.txt
","[""T1482""]","[""T1482""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::8,8,Domain Trust Discovery,attack_id: T1482 | name: Domain Trust Discovery,"[""T1482""]","[""T1482""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::9,9,Enumerate AD subnets,"id: e4cdb5c6-d322-3b6e-ac8e-68b2e8a7dd4c | name: Enumerate AD subnets | description: List subnets and output the results to a text file. | tactic: discovery | technique: attack_id: T1016 | name: System Network Configuration Discovery | cti_source: https://www.fireeye.com/blog/threat-research/2019/04/pick-six-intercepting-a-fin6-intrusion.html | procedure_group: procedure_discovery | procedure_step: 2.5 | platforms: windows: cmd: command: ""#{adfind_exe}"" -subnets -f (objectCategory=subnet) > ad_subnets.txt
 | payloads: adfind.exe | input_arguments: adfind_exe: description: Path of adfind.exe | type: Path | default: adfind.exe | adfind_url: description: Path to download ADFind zip file | type: URL | default: http://www.joeware.net/downloads/files/AdFind.zip | adfind_zip_hash: description: File hash of the ADFind zip file | type: String | dependency_executor_name: powershell | dependencies: description: Adfind.exe must exist on disk at specified location (#{adfind_exe}) | prereq_command: if (Test-Path ""#{adfind_exe}"") {exit 0} else {exit 1}
 | get_prereq_command: $parentpath = Split-Path ""#{adfind_exe}""; $zippath = ""$parentpath\adfind.zip""
IEX(IWR ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-WebRequestVerifyHash.ps1"")
if(Invoke-WebRequestVerifyHash ""#{adfind_url}"" $zippath ""#{adfind_zip_hash}"") {
Expand-Archive $zippath $parentpath\adfind -Force
Move-Item $parentpath\adfind\adfind.exe ""#{adfind_exe}""
Remove-Item $zippath, $parentpath\adfind -Recurse
}
 | executors: name: command_prompt | command: ""#{adfind_exe}"" -subnets -f (objectCategory=subnet) > ad_subnets.txt
","[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
fin6,fin6,unknown,fin6::10,10,System Network Configuration Discovery,attack_id: T1016 | name: System Network Configuration Discovery,"[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin6\Emulation_Plan\yaml\FIN6.yaml,yaml_regex_extract,high
