development_slot,sample_id,source_audit_only,campaign_id_audit_only,prefix_len,observed_step_ids_audit_only,target_step_ids_excluded_audit_only,transmitted_body_sha256,source_literal_redactions,campaign_literal_redactions,leakage_assertions_passed,generation_status,json_object,exact_schema_keys,valid_summary,summary_attack_id,valid_top5,stage_assessment,observed_capabilities,likely_next_intents,predicted_next_ttps,raw_output,reasoning_content_len,finish_reason,model_returned,completion_id,request_id,attempts,last_http_status,last_latency_ms,error_type,error_message,input_tokens_all_attempts,cache_hit_tokens_all_attempts,cache_miss_tokens_all_attempts,output_tokens_all_attempts,estimated_cost_usd_all_attempts,generated_at
formal:0001,attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,1,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd""]","[""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c""]",f6e18fae464c465c84a8bb3dcac20f84ba104de9892f964d80fd2a1ec025db0d,0,0,True,ok,True,True,True,False,True,攻击者处于初始访问阶段，通过鱼叉式网络钓鱼邮件投递恶意压缩附件。,具备制作和发送鱼叉式钓鱼邮件的能力，并可能使用恶意附件进行初始入侵。,攻击者可能试图诱导用户执行附件中的恶意负载，以获取初始访问权限，并可能进一步部署后续工具。,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]","{
  ""stage_assessment"": ""攻击者处于初始访问阶段，通过鱼叉式网络钓鱼邮件投递恶意压缩附件。"",
  ""observed_capabilities"": ""具备制作和发送鱼叉式钓鱼邮件的能力，并可能使用恶意附件进行初始入侵。"",
  ""likely_next_intents"": ""攻击者可能试图诱导用户执行附件中的恶意负载，以获取初始访问权限，并可能进一步部署后续工具。"",
  ""predicted_next_ttps"": [""T1204"", ""T1059"", ""T1105"", ""T1547"", ""T1027""]
}",0,stop,deepseek-v4-flash,ab1f2f60-3e5e-4d84-8086-879451510374,,1,200,2080,,,402,0,402,127,9.184e-05,2026-08-07T07:57:10.103842+00:00
formal:0002,attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,2,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc""]","[""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a""]",f8093fd9be2e65ea1bfd8a261f7939c0810ebba883fa7d1592d54af5d09d5731,0,0,True,ok,True,True,True,False,True,攻击者处于初始访问阶段，通过钓鱼邮件投递恶意附件，并利用密码保护规避检测。,能够发送钓鱼邮件并附带恶意压缩文件，且能利用密码保护绕过部分防病毒检测。,攻击者可能试图诱导用户打开附件，执行恶意代码，并进一步建立立足点或进行后续侦察。,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]","{
  ""stage_assessment"": ""攻击者处于初始访问阶段，通过钓鱼邮件投递恶意附件，并利用密码保护规避检测。"",
  ""observed_capabilities"": ""能够发送钓鱼邮件并附带恶意压缩文件，且能利用密码保护绕过部分防病毒检测。"",
  ""likely_next_intents"": ""攻击者可能试图诱导用户打开附件，执行恶意代码，并进一步建立立足点或进行后续侦察。"",
  ""predicted_next_ttps"": [""T1204"", ""T1059"", ""T1105"", ""T1071"", ""T1021""]
}",0,stop,deepseek-v4-flash,6584b1b5-a139-46fc-ba3f-defa03409c3f,,1,200,2011,,,439,0,439,128,9.730000000000001e-05,2026-08-07T07:57:10.035862+00:00
formal:0003,attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,3,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d""]","[""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268""]",4381ad612bc1c44e8d62c4fd3f99009f34e8d0074510a15aacdeaa84688555c1,0,0,True,ok,True,True,True,False,True,攻击者处于初始访问和早期执行阶段，通过钓鱼邮件投递恶意附件，并利用密码保护规避检测。,能够制作钓鱼邮件并附带恶意压缩文件，利用密码保护绕过防病毒软件，诱导用户解压并打开恶意文档。,攻击者可能利用恶意文档中的漏洞或宏执行代码，建立初步立足点，并可能尝试下载后续工具或进行侦察。,"[""T1203"",""T1059"",""T1105"",""T1055"",""T1027""]","{
  ""stage_assessment"": ""攻击者处于初始访问和早期执行阶段，通过钓鱼邮件投递恶意附件，并利用密码保护规避检测。"",
  ""observed_capabilities"": ""能够制作钓鱼邮件并附带恶意压缩文件，利用密码保护绕过防病毒软件，诱导用户解压并打开恶意文档。"",
  ""likely_next_intents"": ""攻击者可能利用恶意文档中的漏洞或宏执行代码，建立初步立足点，并可能尝试下载后续工具或进行侦察。"",
  ""predicted_next_ttps"": [""T1203"", ""T1059"", ""T1105"", ""T1055"", ""T1027""]
}",0,stop,deepseek-v4-flash,ab045619-f427-4cbf-8f76-b29d651b8538,,1,200,2635,,,480,0,480,142,0.00010696,2026-08-07T07:57:10.660493+00:00
formal:0004,attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,4,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c""]","[""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc""]",3e7431cef80fe46d67d8608ecc3ee4c73f7c09b29ac4c296698f3681716d2fc1,0,0,True,ok,True,True,True,False,True,攻击者处于初始访问和早期执行阶段，通过钓鱼邮件投递恶意附件，并利用密码保护规避检测，诱导用户执行宏。,能够制作钓鱼邮件并附带恶意压缩包，使用密码保护绕过AV，利用宏执行恶意代码。,在宏执行后，攻击者可能尝试下载后续载荷、建立持久化或进行命令与控制通信。,"[""T1105"",""T1059"",""T1071"",""T1547"",""T1003""]","{
  ""stage_assessment"": ""攻击者处于初始访问和早期执行阶段，通过钓鱼邮件投递恶意附件，并利用密码保护规避检测，诱导用户执行宏。"",
  ""observed_capabilities"": ""能够制作钓鱼邮件并附带恶意压缩包，使用密码保护绕过AV，利用宏执行恶意代码。"",
  ""likely_next_intents"": ""在宏执行后，攻击者可能尝试下载后续载荷、建立持久化或进行命令与控制通信。"",
  ""predicted_next_ttps"": [""T1105"", ""T1059"", ""T1071"", ""T1547"", ""T1003""]
}",0,stop,deepseek-v4-flash,0ca89dd6-d065-43fc-88fe-16445f191f0d,,1,200,2477,,,505,0,505,136,0.00010878,2026-08-07T07:57:10.502994+00:00
formal:0005,attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,5,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a""]","[""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0""]",5670a765d6f00e8ed8c94e37aa6fd379bd72c2f0deba216fbfc81c1368f1b88f,0,0,True,ok,True,True,True,False,True,攻击者处于初始访问和执行的早期阶段，已通过钓鱼邮件投递恶意附件，并利用宏和PowerShell脚本进行初步执行和下载后续载荷。,能够制作带密码保护的恶意zip附件以规避检测，利用宏和PowerShell脚本执行恶意代码，并下载额外脚本。,攻击者可能继续执行恶意代码，尝试持久化、提升权限或横向移动，同时可能下载更多工具或建立命令与控制通道。,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]","{
  ""stage_assessment"": ""攻击者处于初始访问和执行的早期阶段，已通过钓鱼邮件投递恶意附件，并利用宏和PowerShell脚本进行初步执行和下载后续载荷。"",
  ""observed_capabilities"": ""能够制作带密码保护的恶意zip附件以规避检测，利用宏和PowerShell脚本执行恶意代码，并下载额外脚本。"",
  ""likely_next_intents"": ""攻击者可能继续执行恶意代码，尝试持久化、提升权限或横向移动，同时可能下载更多工具或建立命令与控制通道。"",
  ""predicted_next_ttps"": [""T1059"", ""T1105"", ""T1027"", ""T1547"", ""T1003""]
}",0,stop,deepseek-v4-flash,f1c20b03-fbe6-4c51-ae4d-34004615898f,,1,200,2746,,,539,0,539,152,0.00011802000000000001,2026-08-07T07:57:10.773792+00:00
formal:0006,attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,6,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268""]","[""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c""]",bd129e3557387541db45f9a0e5ec4fb3bca63541d8ffdb0ad6765885b4c57c85,0,0,True,ok,True,True,True,False,True,攻击者已成功完成初始访问和代码执行，正在建立持久性和提升权限，并可能准备进行横向移动或数据窃取。,能够通过钓鱼邮件投递恶意附件，利用密码保护绕过检测，诱导用户执行宏，使用PowerShell下载额外载荷，并利用DLL劫持技术执行恶意负载。,攻击者可能继续执行恶意代码，尝试获取凭证，建立持久性，或进行横向移动以扩大访问范围。,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]","{
  ""stage_assessment"": ""攻击者已成功完成初始访问和代码执行，正在建立持久性和提升权限，并可能准备进行横向移动或数据窃取。"",
  ""observed_capabilities"": ""能够通过钓鱼邮件投递恶意附件，利用密码保护绕过检测，诱导用户执行宏，使用PowerShell下载额外载荷，并利用DLL劫持技术执行恶意负载。"",
  ""likely_next_intents"": ""攻击者可能继续执行恶意代码，尝试获取凭证，建立持久性，或进行横向移动以扩大访问范围。"",
  ""predicted_next_ttps"": [""T1059"", ""T1003"", ""T1021"", ""T1078"", ""T1105""]
}",0,stop,deepseek-v4-flash,df08690a-17d3-48e6-8541-5c7986108ca3,,1,200,2535,,,590,0,590,154,0.00012572,2026-08-07T07:57:10.564137+00:00
formal:0007,attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,7,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc""]","[""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c"",""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6""]",e16244bab9db20f51432a1ab146a4c06b192f9721675987c787557968802f80d,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到执行与防御规避阶段，利用钓鱼邮件、恶意文档和脚本执行建立初步立足点，并尝试通过DLL侧加载和系统工具规避检测。,能够发送带恶意附件的钓鱼邮件，使用密码保护的压缩包绕过防病毒，利用恶意文档中的宏执行PowerShell脚本下载载荷，并通过DLL侧加载和系统工具执行恶意代码。,攻击者可能继续执行恶意代码以获取持久性、提升权限或横向移动，同时可能尝试收集凭据或与命令控制服务器通信。,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到执行与防御规避阶段，利用钓鱼邮件、恶意文档和脚本执行建立初步立足点，并尝试通过DLL侧加载和系统工具规避检测。"",
  ""observed_capabilities"": ""能够发送带恶意附件的钓鱼邮件，使用密码保护的压缩包绕过防病毒，利用恶意文档中的宏执行PowerShell脚本下载载荷，并通过DLL侧加载和系统工具执行恶意代码。"",
  ""likely_next_intents"": ""攻击者可能继续执行恶意代码以获取持久性、提升权限或横向移动，同时可能尝试收集凭据或与命令控制服务器通信。"",
  ""predicted_next_ttps"": [""T1059"", ""T1105"", ""T1003"", ""T1021"", ""T1078""]
}",0,stop,deepseek-v4-flash,6acc7a7f-2cdc-453f-9659-43166390dd03,,1,200,2875,,,623,0,623,177,0.00013678000000000003,2026-08-07T07:57:10.903972+00:00
formal:0008,attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,8,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0""]","[""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c"",""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6"",""attack_flow::Black Basta Ransomware::8db6f663-3eda-4a6d-b887-3b67ac5d218c""]",b02e9a113abd078eaa451e25dbd8453d53b79ed3ee45ab318d241e63da9e07f0,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到执行与持久化阶段，正在建立稳定的立足点。,能够通过钓鱼邮件投递恶意附件，利用密码保护规避检测，使用宏和PowerShell脚本执行恶意代码，通过DLL侧加载和注册表组件执行，并创建本地账户以维持持久化。,攻击者可能继续提升权限、横向移动或建立命令与控制通道，同时可能尝试收集凭据或部署额外工具。,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到执行与持久化阶段，正在建立稳定的立足点。"",
  ""observed_capabilities"": ""能够通过钓鱼邮件投递恶意附件，利用密码保护规避检测，使用宏和PowerShell脚本执行恶意代码，通过DLL侧加载和注册表组件执行，并创建本地账户以维持持久化。"",
  ""likely_next_intents"": ""攻击者可能继续提升权限、横向移动或建立命令与控制通道，同时可能尝试收集凭据或部署额外工具。"",
  ""predicted_next_ttps"": [""T1059"", ""T1021"", ""T1003"", ""T1105"", ""T1078""]
}",0,stop,deepseek-v4-flash,8ce27830-c2e5-416a-9afb-bd02dabf8805,,1,200,2532,,,655,0,655,154,0.00013482,2026-08-07T07:57:10.562407+00:00
formal:0009,attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,9,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c""]","[""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6"",""attack_flow::Black Basta Ransomware::8db6f663-3eda-4a6d-b887-3b67ac5d218c"",""attack_flow::Black Basta Ransomware::21faed62-d790-40dd-a97c-e20cad02e4ed""]",4801306c7855548a331ec56a0f5fb6b11fd3b3dd7caaa988feb30bc7f2f548f5,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到执行、持久化和防御规避阶段，正在建立持久性并提升权限。,能够通过钓鱼邮件投递恶意附件，利用密码保护绕过检测，使用宏和PowerShell脚本执行恶意代码，通过DLL侧加载和注册表组件执行，创建账户和修改组策略以维持访问和提升权限。,攻击者可能继续提升权限、横向移动、收集凭据或建立更隐蔽的持久性机制。,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到执行、持久化和防御规避阶段，正在建立持久性并提升权限。"",
  ""observed_capabilities"": ""能够通过钓鱼邮件投递恶意附件，利用密码保护绕过检测，使用宏和PowerShell脚本执行恶意代码，通过DLL侧加载和注册表组件执行，创建账户和修改组策略以维持访问和提升权限。"",
  ""likely_next_intents"": ""攻击者可能继续提升权限、横向移动、收集凭据或建立更隐蔽的持久性机制。"",
  ""predicted_next_ttps"": [""T1059"", ""T1078"", ""T1021"", ""T1003"", ""T1105""]
}",0,stop,deepseek-v4-flash,78b940ec-8e80-400a-818c-02d19f05cab2,,1,200,2502,,,692,0,692,158,0.00014112,2026-08-07T07:57:10.532815+00:00
formal:0010,attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,10,"[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c"",""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6""]","[""attack_flow::Black Basta Ransomware::8db6f663-3eda-4a6d-b887-3b67ac5d218c"",""attack_flow::Black Basta Ransomware::21faed62-d790-40dd-a97c-e20cad02e4ed"",""attack_flow::Black Basta Ransomware::2d4931da-3298-420c-ace1-582fabc4a558""]",9b5a0c4b0ba8aca1268a7bf24d4438061f1f86026029e74fb3d493316f57c06a,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到执行与持久化阶段，并开始建立管理权限和规避防御。,能够通过钓鱼邮件投递恶意附件，利用密码保护绕过检测，使用宏和PowerShell脚本执行代码，通过DLL侧加载和系统工具执行恶意负载，创建账户并提升权限，修改组策略以维持访问。,攻击者可能继续利用现有权限进行横向移动、收集凭据或部署额外工具，同时可能进一步巩固持久化并规避检测。,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1055""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到执行与持久化阶段，并开始建立管理权限和规避防御。"",
  ""observed_capabilities"": ""能够通过钓鱼邮件投递恶意附件，利用密码保护绕过检测，使用宏和PowerShell脚本执行代码，通过DLL侧加载和系统工具执行恶意负载，创建账户并提升权限，修改组策略以维持访问。"",
  ""likely_next_intents"": ""攻击者可能继续利用现有权限进行横向移动、收集凭据或部署额外工具，同时可能进一步巩固持久化并规避检测。"",
  ""predicted_next_ttps"": [""T1021"", ""T1003"", ""T1078"", ""T1105"", ""T1055""]
}",0,stop,deepseek-v4-flash,b83e6fdd-f4e8-46fa-a3f9-42103ceb9a39,,1,200,2695,,,730,0,730,164,0.00014812,2026-08-07T07:57:10.726029+00:00
