review_id,generation_status,prefix,kg_context,kg_snippet_ids,reasoning_or_raw_output,predicted_next_ttps,reviewer_id,tactic_judgment,tactic_reason,asset_or_permission_unsupported,asset_permission_reason,kg_traceable,kg_traceability_reason,candidate_1_unsupported,candidate_2_unsupported,candidate_3_unsupported,candidate_4_unsupported,candidate_5_unsupported,candidate_reason
R01,ok,"[""T1566"",""T1056"",""T1190"",""T1068"",""T1056"",""T1030"",""T1090""]",Cobalt Strike uses Domain Fronting | Target ATT&CK ID: T1090.004 | [Cobalt Strike](https://attack.mitre.org/software/S0154) has the ability to accept a value for HTTP Host Header to enable domain fronting.(Citation: Cobalt Strike Manual 4.3 November 2020) ; Play uses Data Transfer Size Limits | Target ATT&CK ID: T1030 | [Play](https://attack.mitre.org/groups/G1040) has split victims' files into chunks for exfiltration.(Citation: CISA Play Ransomware Advisory December 2023)(Citation: Trend Micro Ransomware ... ; Zeus Panda uses Credential API Hooking | Target ATT&CK ID: T1056.004 | [Zeus Panda](https://attack.mitre.org/software/S0330) hooks processes by leveraging its own IAT hooked ...,"[""relationship::relationship--0023f0a7-26ae-40ec-ac6e-9dacf5217fb9"", ""relationship::relationship--017d597b-2268-4760-baf0-0cee23906965"", ""relationship::relationship--01e4bf9a-3d9c-4381-aa9c-cca73376c771""]","[战术阶段评估]前缀最后两步为T1030（数据分块）和T1090（代理/内网穿透），表明攻击者已进入数据收集与传输准备阶段，可能处于渗透后期或数据渗出前期。T1030暗示已获取敏感数据并准备分块外传，T1090则用于隐蔽通信或建立隧道，两者结合表明攻击者正在为数据渗出或后续横向移动做准备。
[已获资产推演]基于前缀，攻击者已通过T1566（钓鱼）、T1056（凭证窃取）、T1190（利用公开应用漏洞）、T1068（提权）等获得初始访问、提升权限并窃取凭证，可能已获取域账户或本地管理员权限，并可能已收集到敏感文件（如文档、数据库）。T1030表明已访问到数据存储位置，T1090表明已建立隐蔽信道。
[意图图谱映射]结合KG Context，T1090与Cobalt Strike的域前置相关，T1030与Play勒索软件的数据分块外传相关，暗示攻击者可能使用C2框架（如Cobalt Strike）进行数据渗出。最后两步为后续攻击开启了数据外传通道，下一步可能涉及将数据打包、加密、压缩（T1560），或通过C2信道传输（T1041），或利用已获凭证进行横向移动（T1078），或进一步收集凭据（T1003），或使用脚本执行工具（T1059）进行自动化操作。","[""T1041"", ""T1560"", ""T1078"", ""T1003"", ""T1059""]",,,,,,,,,,,,,
R02,ok,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Moses Staff uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Moses Staff](https://attack.mitre.org/groups/G1009) has used batch scripts that can enable SMB on a compromised host.(Citation: Checkpoint MosesStaff Nov 2021) ; Empire uses Distributed Component Object Model | Target ATT&CK ID: T1021.003 | [Empire](https://attack.mitre.org/software/S0363) can utilize <code>Invoke-DCOM</code> to leverage remote COM execution for ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--046310ee-386b-4ed6-a623-6436341b8b8c"", ""relationship::relationship--04878c23-0ba8-4893-acd7-f0594241b66f""]","[战术阶段评估] 前缀最后两步均为T1021（远程服务），表明攻击者正处于横向移动阶段，通过远程服务协议（如SMB/Admin Shares）在内部网络扩展控制。此前已执行T1005（本地数据收集）、T1552（凭据搜索）、T1135（网络共享发现）、T1018（远程系统发现）和T1003（凭据转储），说明攻击者已收集凭据并识别目标主机，当前正利用这些凭据进行远程访问。

[已获资产推演] 攻击者已获得有效凭据（来自T1003和T1552），并掌握了网络共享和远程系统信息（T1135、T1018）。通过T1021，攻击者已成功建立远程会话，可能已获得目标主机的执行权限。资产级别为：域内多台主机的管理员权限或高权限访问，且具备横向移动能力。

[意图图谱映射] 结合KG Context，T1021.002（SMB/Admin Shares）常用于传播恶意软件或加密文件（如Conti勒索软件）。攻击者可能利用已建立的远程服务进行后续操作：1) 部署恶意负载（如勒索软件）到其他主机；2) 执行远程命令以收集更多数据或破坏系统；3) 创建计划任务或服务以持久化；4) 进一步转储凭据以扩大访问范围；5) 禁用安全工具或修改系统设置。因此，下一步可能涉及执行、持久化、防御规避或影响类技术。

[意图图谱映射] 基于前缀最后两步T1021，攻击者已具备远程执行能力，下一步可能利用此能力进行恶意软件部署、命令执行、数据加密或进一步凭据收集。KG Context中提及Conti和Moses Staff使用SMB进行传播，暗示攻击者可能模仿此类行为，因此预测技术包括远程执行、文件部署、计划任务、凭据转储和系统破坏。","[""T1059"", ""T1105"", ""T1053"", ""T1003"", ""T1486""]",,,,,,,,,,,,,
R03,ok,"[""T1047"",""T1057"",""T1057""]",Epic uses Process Discovery | Target ATT&CK ID: T1057 | [Epic](https://attack.mitre.org/software/S0091) uses the <code>tasklist /v</code> command to obtain a list of processes.(Citation: Kaspersky Turla)(Citation: Kaspersky Turla Aug 2014) ; WarzoneRAT uses Process Discovery | Target ATT&CK ID: T1057 | [WarzoneRAT](https://attack.mitre.org/software/S0670) can obtain a list of processes on a compromised host.(Citation: Check Point Warzone Feb 2020) ; FELIXROOT uses Process Discovery | Target ATT&CK ID: T1057 | [FELIXROOT](https://attack.mitre.org/software/S0267) collects a list of running processes.(Citation: ESET GreyEnergy Oct 2018) ; RedPenguin uses Process Discovery | Target ATT&CK ...,"[""relationship::relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b"", ""relationship::relationship--057815bb-550c-4e00-bfdb-c7e4bf6461cb"", ""relationship::relationship--058c67f3-9345-42be-a433-a4cea314d26d"", ""relationship::relationship--06f0aaf3-c2ff-4d54-8279-2e7f66b5d819""]","[战术阶段评估]：前缀序列为 T1047（Windows 管理共享）和两次 T1057（进程发现）。最后两步均为 T1057，表明攻击者正在重复进行进程枚举，可能是在侦察目标环境中的安全软件、关键进程或寻找特定进程以进行后续操作。这处于侦察/发现阶段，但重复执行可能意味着攻击者正在确认环境状态或等待特定条件。
[已获资产推演]：通过 T1047，攻击者可能已获得对远程系统的管理访问权限（如通过 WMI 执行命令），并利用 T1057 收集了进程列表。因此，攻击者已具备在目标主机上执行命令的能力，并拥有关于运行进程的详细信息，可能包括安全工具、用户进程或服务。
[意图图谱映射]：结合 KG Context，T1057 常被用于识别安全软件或特定进程，以规避检测或为后续攻击做准备。重复的进程发现可能表明攻击者正在寻找特定目标（如防病毒进程）或确认环境是否适合进一步行动。基于此，下一步可能涉及利用已获取的进程信息进行权限提升、防御规避、横向移动或数据收集。
[预测]：基于上述分析，攻击者可能接下来执行以下操作：利用进程信息进行权限提升（T1068）、禁用或规避安全工具（T1562）、通过管理共享进行横向移动（T1021）、收集凭据（T1003）或执行命令（T1059）。","[""T1068"", ""T1562"", ""T1021"", ""T1003"", ""T1059""]",,,,,,,,,,,,,
R04,ok,"[""T1059"",""T1211"",""T1105""]",POWERSTATS uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [POWERSTATS](https://attack.mitre.org/software/S0223) can retrieve and execute additional [PowerShell](https://attack.mitre.org/techniques/T1059/001) payloads from the C2 server.(Citation: ... ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | Target ATT&CK ID: T1059.005 | [Lokibot](https://attack.mitre.org/software/S0447) has used VBS scripts and XLS macros for execution.(Citation: Talos Lokibot Jan 2021) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: ...,"[""relationship::relationship--ce7b27ac-fff6-4d3c-bceb-50c16f462552"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]","[战术阶段评估] 前缀最后两步为 T1211（Exploitation for Defense Evasion）和 T1105（Ingress Tool Transfer）。T1211 表明攻击者利用漏洞绕过防御，T1105 表明攻击者已从 C2 下载工具，两者结合表明攻击者正处于初始访问后的工具投递与防御规避阶段，战术上接近执行（Execution）和持久化（Persistence）的过渡。
[已获资产推演] 基于前缀 T1059（命令和脚本解释器）和 T1105，攻击者已获得在目标上执行脚本（如 PowerShell）的能力，并已成功从远程服务器传输工具，表明其拥有初步的执行权限和网络通信能力，但尚未展示出提权或横向移动的明确证据。
[意图图谱映射] KG 上下文显示 POWERSTATS 和 WIRTE 等组织使用 T1105 下载 PowerShell 载荷，结合 T1211 的防御规避，攻击者下一步很可能利用已下载的工具进行持久化、提权、横向移动或收集凭据。常见后续技术包括创建计划任务（T1053）、注册表运行键（T1547）、利用 WMI（T1047）、转储凭据（T1003）或建立隧道（T1572）。","[""T1053"", ""T1547"", ""T1047"", ""T1003"", ""T1572""]",,,,,,,,,,,,,
R05,ok,"[""T1082"",""T1033"",""T1082"",""T1016"",""T1087"",""T1069"",""T1021"",""T1087"",""T1069"",""T1049"",""T1057"",""T1007"",""T1082"",""T1012"",""T1087"",""T1069"",""T1018"",""T1555"",""T1041"",""T1105"",""T1505"",""T1082"",""T1033"",""T1016"",""T1049"",""T1105"",""T1003"",""T1041"",""T1070"",""T1105"",""T1572"",""T1021"",""T1105"",""T1569""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Pupy uses Service Execution | Target ATT&CK ID: T1569.002 | [Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]","[战术阶段评估] 前缀最后两步为 T1105（Ingress Tool Transfer）和 T1569（System Services），表明攻击者正处于横向移动与远程执行阶段，可能已通过服务执行在远程主机上运行工具。
[已获资产推演] 前缀包含大量侦察（T1082、T1033、T1016、T1087、T1069、T1049、T1057、T1007、T1012、T1018）和凭据获取（T1555、T1003），攻击者已掌握系统信息、用户/组枚举、网络共享、凭据等，具备横向移动的基础。
[意图图谱映射] KG 上下文显示 Conti 使用 SMB/Admin Shares 传播，Pupy 使用 PsExec 执行远程命令，结合 T1105 下载工具和 T1569 服务执行，攻击者可能正在部署勒索软件或后门，下一步可能继续横向移动、执行恶意代码、收集更多凭据或建立持久化。
[预测] 基于以上，最可能的下一步父技术包括：T1021（远程服务，如 SMB/Admin Shares）、T1059（命令和脚本解释器）、T1003（OS 凭据转储）、T1078（有效账户）、T1105（Ingress Tool Transfer）。","[""T1021"", ""T1059"", ""T1003"", ""T1078"", ""T1105""]",,,,,,,,,,,,,
R06,ok,"[""T1087"",""T1018"",""T1482"",""T1016"",""T1069"",""T1134"",""T1003"",""T1560"",""T1567"",""T1569"",""T1047""]",Pupy uses Service Execution | Target ATT&CK ID: T1569.002 | [Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy) ; Sardonic uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Sardonic](https://attack.mitre.org/software/S1085) can use WMI to execute PowerShell commands on a compromised machine.(Citation: Bitdefender Sardonic Aug 2021) ; Meteor uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Meteor](https://attack.mitre.org/software/S0688) can use `wmic.exe` as part of its effort to delete shadow copies.(Citation: Check Point ...,"[""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3""]","[战术阶段评估] 前缀最后两步 T1569（服务执行）和 T1047（Windows 管理规范）表明攻击者已从侦察/发现阶段（T1087、T1018、T1482、T1016、T1069）转向执行和横向移动阶段。T1134（访问令牌操纵）和 T1003（凭据转储）表明攻击者已获得提升的权限和凭据。T1560（归档收集数据）和 T1567（外传到 Web 服务）表明数据收集和渗透已在进行中。因此，攻击者处于执行、横向移动和数据渗透的后期阶段。
[已获资产推演] 攻击者已获得域账户枚举（T1087）、网络扫描（T1018）、域信任发现（T1482）、系统网络配置发现（T1016）、权限组发现（T1069）的能力。通过 T1134，攻击者可能已获得令牌操纵能力，从而提升权限。T1003 表明已获取本地或域凭据。T1560 和 T1567 表明攻击者已收集敏感数据并可能已将其外传。最后两步 T1569 和 T1047 表明攻击者已使用服务执行和 WMI 在远程主机上执行命令，表明已获得远程执行能力。
[意图图谱映射] 结合 KG 上下文，T1569 和 T1047 常用于执行远程命令、部署有效载荷或横向移动。攻击者可能利用这些技术来执行后续命令，例如下载更多工具、建立持久性、提升权限或进一步横向移动。鉴于已收集数据并可能外传，攻击者可能继续扩展对网络的控制，或清理痕迹。下一步可能涉及命令和脚本解释器（T1059）、创建账户（T1136）、计划任务/作业（T1053）、系统服务（T1569）或远程服务（T1021）。此外，攻击者可能使用凭据访问（T1003）来进一步访问其他系统，或使用数据加密（T1486）进行勒索。基于常见攻击流程，下一步可能包括执行更多命令（T1059）、建立持久性（T1053、T1543）、横向移动（T1021、T1570）或数据破坏（T1485）。","[""T1059"", ""T1021"", ""T1053"", ""T1543"", ""T1486""]",,,,,,,,,,,,,
R07,ok,"[""T1078"",""T1105"",""T1542"",""T1059"",""T1105"",""T1027"",""T1027"",""T1059"",""T1562"",""T1140"",""T1027"",""T1059""]",Ursnif uses Command Obfuscation | Target ATT&CK ID: T1027.010 | [Ursnif](https://attack.mitre.org/software/S0386) droppers execute base64 encoded [PowerShell](https://attack.mitre.org/techniques/T1059/001) commands.(Citation: Bromium Ursnif Mar 2017) ; PUNCHBUGGY uses Deobfuscate/Decode Files or Information | Target ATT&CK ID: T1140 | [PUNCHBUGGY](https://attack.mitre.org/software/S0196) has used [PowerShell](https://attack.mitre.org/techniques/T1059/001) to decode base64-encoded assembly.(Citation: ... ; DEADEYE uses Encrypted/Encoded File | Target ATT&CK ID: T1027.013 | [DEADEYE](https://attack.mitre.org/software/S1052) has encrypted its payload.(Citation: Mandiant APT41) ; UNC3886 ...,"[""relationship::relationship--7bb7b19e-83dc-4095-83b5-f647bf5f2800"", ""relationship::relationship--bdd9a384-2d57-4238-bddd-5500e667d620"", ""relationship::relationship--0051db4d-9eb9-4b22-93a5-b6593176da75"", ""relationship::relationship--0057843b-ebe3-43f9-9ae0-90c8bdc802fc""]","[战术阶段评估] 前缀最后两步为 T1027（混淆）和 T1059（命令与脚本解释器），表明攻击者处于执行阶段，正在通过混淆技术隐藏恶意命令，并使用脚本解释器执行这些命令。这通常发生在初始访问后，攻击者正在建立持久性或进行侦察。
[已获资产推演] 前缀包含 T1078（有效账户）、T1105（工具传输）、T1542（预启动机制）、T1059（命令执行）、T1027（混淆）、T1562（防御规避）、T1140（解码）。攻击者已获得有效账户权限，传输了工具，可能设置了启动机制，并具备执行命令和规避防御的能力。当前资产级别为中等，具有代码执行和持久化潜力。
[意图图谱映射] 结合 KG 上下文，Ursnif 使用混淆的 PowerShell 命令，PUNCHBUGGY 使用 PowerShell 解码，DEADEYE 加密载荷。前缀中的混淆和命令执行可能用于加载后续恶意载荷或进行横向移动。攻击者可能正在准备执行更高级的恶意活动，如凭证转储、横向移动或数据收集。下一步可能涉及利用已获得的权限进行系统信息收集、凭证访问或进一步传播。","[""T1003"", ""T1021"", ""T1082"", ""T1055"", ""T1078""]",,,,,,,,,,,,,
R08,ok,"[""T1189"",""T1204"",""T1082"",""T1105"",""T1014"",""T1057"",""T1087"",""T1049"",""T1105"",""T1569"",""T1070"",""T1059""]","POWERSTATS uses File Deletion | Target ATT&CK ID: T1070.004 | [POWERSTATS](https://attack.mitre.org/software/S0223) can delete all files on the C:\, D:\, E:\ and, F:\ drives using [PowerShell](https://attack.mitre.org/techniques/T1059/001) Remove-Item ... ; TDTESS uses File Deletion | Target ATT&CK ID: T1070.004 | [TDTESS](https://attack.mitre.org/software/S0164) creates then deletes log files during installation of itself as a service.(Citation: ClearSky Wilted Tulip July 2017) ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | ...","[""relationship::relationship--c18652f6-e25c-4e01-bec2-04204a50cf23"", ""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe""]","[战术阶段评估] 前缀最后两步为 T1070（防御规避-文件删除）和 T1059（执行-命令和脚本解释器）。T1070 表明攻击者正在清理痕迹或删除文件，T1059 表明攻击者正在使用脚本解释器（如 PowerShell）执行命令。这两步结合表明攻击者处于执行和防御规避阶段，可能正在为后续行动做准备或维持持久性。
[已获资产推演] 前缀包含 T1189（初始访问-钓鱼链接）、T1204（用户执行）、T1082（系统信息发现）、T1105（工具传输）、T1014（权限提升-启动项）、T1057（进程发现）、T1087（账户发现）、T1049（系统网络连接发现）、T1569（服务执行）、T1070（文件删除）和 T1059（命令执行）。攻击者已获得初始访问权限，并执行了系统侦察、工具下载、权限提升和服务执行，表明其已具备在目标系统上执行命令和脚本的能力，可能拥有管理员权限。
[意图图谱映射] 结合 KG Context，T1070 和 T1059 的关联表明攻击者可能使用 PowerShell 进行文件删除和脚本执行。攻击者可能正在清理日志或删除证据，同时利用脚本解释器进行后续操作。下一步可能涉及横向移动、数据收集、持久化或进一步防御规避。基于常见攻击流程，攻击者可能尝试获取凭据、建立持久性、横向移动或数据渗出。
[预测] 基于以上分析，最可能的下一步父技术包括：T1003（凭据转储）、T1021（远程服务）、T1053（计划任务/定时执行）、T1078（有效账户）、T1105（工具传输）。","[""T1003"", ""T1021"", ""T1053"", ""T1078"", ""T1105""]",,,,,,,,,,,,,
R09,ok,"[""T1105"",""T1078"",""T1204"",""T1547"",""T1082"",""T1057"",""T1105"",""T1552"",""T1114"",""T1021"",""T1105"",""T1082"",""T1007"",""T1087"",""T1016"",""T1049"",""T1082"",""T1482""]","Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013) ; DarkGate uses System Information Discovery | Target ATT&CK ID: T1082 | [DarkGate](https://attack.mitre.org/software/S1111) will gather various system information such as domain, display adapter ...","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]","[战术阶段评估] 前缀最后两步为 T1082（系统信息发现）和 T1482（域信任发现），均属于发现阶段。攻击者正在收集目标环境的系统与域信任信息，为后续横向移动或权限提升做准备。
[已获资产推演] 前缀包含 T1105（工具传输）、T1078（有效账户）、T1204（用户执行）、T1547（启动或登录自动启动执行）、T1552（不安全的凭据）、T1114（邮箱收集）、T1021（远程服务）等，表明攻击者已获得初始访问权限，并可能已提升权限、窃取凭据，且已建立持久化机制。当前拥有系统级信息（主机名、OS）和域信任关系信息。
[意图图谱映射] 结合 KG Context，T1082 和 T1482 的连续使用表明攻击者正在绘制网络拓扑和信任关系，以确定横向移动的目标。下一步可能利用收集的信息进行横向移动（如通过远程服务）、进一步收集凭据、或执行命令。基于常见攻击链，攻击者可能转向凭据访问、横向移动或命令执行。
[预测] 基于以上分析，最可能的下一步父技术包括：T1021（远程服务，用于横向移动）、T1003（操作系统凭据转储，进一步获取凭据）、T1059（命令和脚本解释器，执行命令）、T1078（有效账户，利用已有账户）、T1550（使用应用程序部署工具，或利用信任关系）。","[""T1021"", ""T1003"", ""T1059"", ""T1078"", ""T1550""]",,,,,,,,,,,,,
R10,ok,"[""T1113"",""T1112"",""T1140"",""T1003"",""T1105"",""T1570"",""T1021""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including [PsExec](https://attack.mitre.org/software/S0029) directly to endpoints.(Citation: CISA ... ; EvilBunny uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [EvilBunny](https://attack.mitre.org/software/S0396) has downloaded additional Lua scripts from the C2.(Citation: ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9""]","[战术阶段评估] 前缀最后两步为 T1570（横向工具转移）和 T1021（远程服务），处于横向移动阶段，攻击者正从初始立足点向其他主机扩展。
[已获资产推演] 前缀包含 T1003（凭证获取）和 T1105（工具下载），表明攻击者已获得有效凭证并具备远程执行能力，可能已控制多台主机。
[意图图谱映射] 结合 KG 上下文，Conti 等组织利用 SMB 共享传播，Fox Kitten 下载 PsExec 等工具，攻击者可能通过 T1021 建立远程会话，下一步可能执行命令、提升权限、窃取数据或部署勒索软件。
[预测] 基于横向移动后的常见后续动作，预测下一步父技术包括命令执行、计划任务、服务执行、数据加密和凭证转储。","[""T1059"", ""T1053"", ""T1569"", ""T1486"", ""T1003""]",,,,,,,,,,,,,
