annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes,ann_num,target_step_idx,step_idx,technique_attack_id,technique_name,description,command_summary
ms_001,apt29::unknown::3,apt29,apt29,unknown,3,T1036 T1059 T1119,T1016,T1074,159,execution_on_host,environment_not_enumerated,network_configuration,enumerate,human_verified,human_revised_v1,1,4,4,T1016,System Network Configuration Discovery,The ipconfig utility is executed via cmd to enumerate local TCP/IP network configuration information.,ipconfig /all
ms_002,apt29::unknown::2,apt29,apt29,unknown,2,T1036 T1059,T1119,T1003,149,execution_on_host,collection_target_not_identified,local_file_data,collect,human_verified,human_revised_v1,2,3,3,T1119,Automated Collection,Execute PowerShell from cmd.exe to collect and compress files of specific extensions.,"$env:APPDATA;$files=ChildItem -Path $env:USERPROFILE\ -Include *.doc,*.xps,*.xls,*.ppt,*.pps,*.wps,*.wpd,*.ods,*.odt,*.lwp,*.jtd,*.pdf,*.zip,*.rar,*.docx,*.url,*.xlsx,*.pptx,*.ppsx,*.pst,*.ost,*psw*,*pass*,*login*,*ad..."
ms_003,apt29::unknown::9,apt29,apt29,unknown,9,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082,T1069,T1124,90,post_compromise_discovery,privilege_structure_not_enumerated,permission_group_context,enumerate,human_verified,human_revised_v1,3,10,10,T1007,System Service Discovery,The sc utility is executed via cmd to enumerate local active services.,sc query
ms_004,apt29::unknown::1,apt29,apt29,unknown,1,T1036,T1059,T1036,86,initial_foothold,execution_capability_not_established,command_execution_channel,execute,human_verified,human_revised_v1,4,2,2,T1059.001,Command and Scripting Interpreter: PowerShell,Spawn powershell.exe from cmd.exe,"powershell.exe; if ($?) { write-host ""[*] PowerShell successfully spawned""; exit 0; }"
ms_005,apt29::unknown::8,apt29,apt29,unknown,8,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007,T1082,T1534,64,post_compromise_discovery,environment_not_enumerated ,system_information,enumerate,human_verified,human_revised_v1,5,9,9,T1057,Process Discovery,The tasklist utility is executed via cmd to enumerate local running processes.,tasklist /v
ms_006,apt29::unknown::28,apt29,apt29,unknown,28,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,6,29,29,T1057,Process Discovery,List running process on the machine via PowerShell.,$ps = get-process; write-output $ps;
ms_007,apt29::unknown::26,apt29,apt29,unknown,26,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,7,27,27,T1018,Remote System Discovery,The net utility is executed via cmd to enumerate hosts within the domain.,"cmd.exe /c net group ""Domain Computers"" /domain"
ms_008,apt29::unknown::13,apt29,apt29,unknown,13,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036,T1134,T1518,137,internal_host_access,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,8,14,14,T1069,Permission Groups Discovery,The net utility is executed via cmd to enumerate members of the local system's administrators group.,net localgroup administrators
ms_009,apt29::unknown::25,apt29,apt29,unknown,25,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003,T1547,T1021,130,internal_host_access,persistence_path_not_established,persistence_mechanism,modify,human_verified,human_revised_v1,9,26,26,T1018,Remote System Discovery,The net utility is executed via cmd to enumerate DCs within the domain,"cmd.exe /c net group ""Domain Controllers"" /domain"
ms_010,apt29::unknown::30,apt29,apt29,unknown,30,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081,T1552,T1021,110,internal_host_access,credential_material_not_collected,private_keys,collect,human_verified,human_revised_v1,10,31,31,T1082,System Information Discovery,Load Stage-2 from Modified Sysinternals Toolset,"if (! $(test-path -path ""C:\Program Files\SysInternalsSuite"")) { write-host ""[!] The path C:\Program Files\SysInternalsSuite does not exist. Execution has stopped.""; exit 1; } Set-Location -path ""C:\Program Files\SysI..."
