sample_idx,true_label,prefix_state,rank_RL,rank_LLM,rank_FeatFusion,rank_GlobalFusion,logit_RL,logit_LLM,logit_FeatFusion,logit_GlobalFusion,RL_top3,LLM_top3,FeatFusion_top3,GlobalFusion_top3,llm_thinking_process,category,case_score
1020,T1529,T1005 || T1056 || T1056 || T1071 || T1071 || T1105 || T1485 || T1486 || T1565 || T1565 || T1561 || T1561,7,1,7,1,5.3578362464904785,5.380342483520508,5.3578362464904785,5.361886978149414,T1543 (6.40) | T1547 (6.07) | T1140 (6.03),T1529 (5.38) | T1489 (4.30) | T1486 (3.75),T1543 (6.40) | T1547 (6.07) | T1140 (6.03),T1529 (5.36) | T1561 (4.78) | T1547 (4.61),"[战术阶段评估]：前缀序列显示攻击者经历了初始访问（T1005）、凭证窃取（T1056）、命令与控制（T1071）、数据收集（T1105）、数据破坏（T1485, T1486）以及数据破坏的后续操作（T1565, T1561）。最后两步 T1565（数据破坏）和 T1561（磁盘结构擦除）表明攻击者正在执行或刚刚完成了针对存储介质的物理/逻辑破坏操作。这通常标志着攻击周期的终结阶段（Destructive/Disruptive），即‘自毁’或‘擦除’阶段。

[已获资产推演]：基于 T1485（数据破坏）和 T1561（磁盘结构擦除）的执行，攻击者已经获得了系统级的写入权限，并成功触发了针对文件系统或引导扇区的破坏性载荷。此时，攻击者可能已经完成了其核心目标（如勒索、破坏或掩盖痕迹），或者正在等待破坏效果生效。系统可能已经处于不可用状态，或者攻击者正在等待远程指令确认破坏完成。

[意图图谱映射]：结合 KG Context 中关于 ZeroCleare、KillDisk 和 RawDisk 的描述，T1561 是典型的‘擦除’动作。在攻击者执行完此类破坏性操作后，逻辑上最可能的后续行",cat3_interface_gap_proof,6
1835,T1003,T1078 || T1078 || T1078 || T1562 || T1562 || T1070 || T1070 || T1027 || T1027 || T1078 || T1078 || T1078 || T1003,3,1,3,1,7.425973892211914,6.013967037200928,7.425973892211914,7.171813011169434,T1083 (8.76) | T1046 (7.94) | T1003 (7.43),T1003 (6.01) | T1021 (3.20) | T1539 (2.41),T1083 (8.76) | T1046 (7.94) | T1003 (7.43),T1003 (7.17) | T1083 (7.11) | T1021 (6.48),"[战术阶段评估]：前缀序列以 T1078 (Valid Accounts) 的多次重复开始，中间穿插了 T1562 (Impair Defenses) 和 T1070 (Indicator Removal)，随后再次高频使用 T1078，最后以 T1003 (OS Credential Dumping) 结束。这表明攻击者已经完成了初始入侵、防御规避和痕迹清理，并重新建立了高权限连接。T1003 的出现标志着战术重心从‘维持访问’转向‘凭证获取’，这是横向移动前的关键准备步骤。

[已获资产推演]：攻击者目前拥有有效的域账户或本地管理员权限（基于 T1078 的反复使用及 KG 中关于 Cobalt Strike 和 FIN10 使用域/本地账户的上下文）。T1003 的执行意味着攻击者正在尝试从内存或注册表中提取明文密码、哈希值或 Kerberos 票据。此时，攻击者尚未获得新的、更高权限的凭证，但正在积极构建一个包含更多账户凭据的‘武器库’。

[意图图谱映射]：结合 KG Context，Cobalt Strike 和 FIN10 等组织在获取凭证后，核心意图是利用这些新凭证进行",cat3_interface_gap_proof,2
1823,T1114,T1005 || T1039 || T1114,3,1,3,1,9.382712364196777,7.216345310211182,9.382712364196777,8.992766380310059,T1125 (9.49) | T1113 (9.43) | T1114 (9.38),T1114 (7.22) | T1125 (5.46) | T1056 (4.22),T1125 (9.49) | T1113 (9.43) | T1114 (9.38),T1114 (8.99) | T1125 (8.77) | T1113 (8.33),"[战术阶段评估]：前缀序列 T1005 (Data from Local System) -> T1039 (Data from Network Shared Drive) -> T1114 (Remote File Management) 显示攻击者正处于数据收集与准备阶段。T1005 和 T1039 表明攻击者正在从本地和共享网络位置搜集敏感数据。T1114 是远程文件管理，通常用于在收集数据后，将文件移动到特定位置（如临时目录）或直接准备外传，或者在收集过程中进行文件操作。这标志着数据收集阶段即将结束，进入数据外传或后续利用阶段。

[已获资产推演]：基于 T1005 和 T1039，攻击者已经成功访问了本地文件系统及网络共享资源，并可能已经识别并定位了高价值数据（如文档、凭证、配置等）。T1114 的存在暗示攻击者可能已经具备了对远程文件系统的控制能力，或者正在利用该能力进行数据的整理和打包，以便进行下一步操作。攻击者目前掌握的是‘已收集但未外传’或‘正在整理’的数据资产。

[意图图谱映射]：结合 KG Context 中提到的 ZxShell, CharmPower, Ou",cat3_interface_gap_proof,2
1243,T1574,T1133 || T1574 || T1574 || T1556 || T1556 || T1053 || T1053 || T1078 || T1078,3,2,3,1,6.569690227508545,2.275576114654541,6.569690227508545,5.796749591827393,T1547 (6.94) | T1053 (6.71) | T1574 (6.57),T1562 (2.58) | T1574 (2.28) | T1021 (2.03),T1547 (6.94) | T1053 (6.71) | T1574 (6.57),T1574 (5.80) | T1547 (5.74) | T1134 (5.41),"[战术阶段评估]：前缀序列显示攻击者首先通过 T1133 (System Information Discovery) 和 T1574 (Component Object Model Hijacking) 进行侦察与持久化尝试，随后利用 T1556 (Modify Authentication Process) 和 T1053 (Scheduled Task/Job) 建立执行通道。最后两步 T1078 (Valid Accounts) 的重复出现，结合 KG Context 中关于 Cobalt Strike 和 FIN10 使用域账户或本地管理员账户进行横向移动的上下文，表明攻击者刚刚成功利用凭证登录了目标系统，正处于从‘初始访问/持久化’向‘横向移动’过渡的关键节点。

[已获资产推演]：基于 T1078 的连续执行，攻击者目前至少掌握了一个有效的域账户或本地管理员账户的会话权限。KG Context 明确指出此类账户（如 Cobalt Strike 使用的域账户）通常用于后续的命令执行和进程生成。攻击者已具备在受控主机上以高权限身份运行的能力，但尚未展示明确的横向移动动作（如 ",cat3_interface_gap_proof,2
64,T1114,T1025 || T1074 || T1074 || T1074 || T1114,3,1,3,1,8.628055572509766,10.246892929077148,8.628055572509766,8.919445991516113,T1071 (9.61) | T1056 (8.72) | T1114 (8.63),T1114 (10.25) | T1074 (7.79) | T1056 (7.26),T1071 (9.61) | T1056 (8.72) | T1114 (8.63),T1114 (8.92) | T1071 (8.87) | T1056 (8.46),"[战术阶段评估]：前缀序列以 T1025 (Data from Local System) 开始，随后连续三次 T1074 (Data Staged)，最后一步是 T1114 (Remote Data Staging)。这表明攻击者已经完成了本地数据的收集（T1025），并在本地进行了多次整理和暂存（T1074），最后一步 T1114 明确指向将数据从本地环境传输到远程位置。整个序列清晰地展示了从‘数据收集’到‘本地暂存’再到‘远程传输’的完整链条，目前正处于数据外传（Exfiltration）的战术阶段，且刚刚完成了数据打包或准备外传的动作。

[已获资产推演]：基于 T1025 和 T1074 的连续执行，攻击者已经获取了目标系统的敏感数据（如 SSH 凭证、日志或配置文件），并成功将其整理为文件形式存储在本地（如 KG 中提到的 /var/run 目录或文本文件）。T1114 的执行意味着攻击者已经建立了与外部服务器的连接通道，或者正在利用该通道将数据推送到 C2 服务器或云存储。此时，攻击者手中握有完整的、可传输的敏感数据集。

[意图图谱映射]：T1114 是数据外传的关键一",cat3_interface_gap_proof,2
4,T1003,T1078 || T1586 || T1140 || T1036 || T1036 || T1036 || T1027 || T1078 || T1586 || T1056 || T1056 || T1003 || T1003,2,1,2,1,8.484244346618652,7.096485137939453,8.484244346618652,8.234447479248047,T1083 (9.64) | T1003 (8.48) | T1135 (7.40),T1003 (7.10) | T1552 (5.03) | T1087 (4.38),T1083 (9.64) | T1003 (8.48) | T1135 (7.40),T1003 (8.23) | T1083 (7.98) | T1087 (6.23),"[战术阶段评估]：前缀序列以 T1056 (输入捕获) 和 T1003 (凭证转储) 结尾。T1056 通常用于捕获键盘输入或剪贴板内容，而 T1003 用于从内存中提取明文或哈希凭证。这两个技术的组合表明攻击者正处于‘凭证获取’阶段，且已经完成了对目标系统内存和输入流的深度扫描，旨在获取高价值凭证。这通常是‘初始访问’或‘持久化’阶段结束，即将进入‘横向移动’或‘权限提升’阶段的临界点。

[已获资产推演]：基于 T1056 和 T1003 的执行，攻击者目前极大概率已经获取了本地管理员权限、域管理员凭证或特定服务的凭据。他们掌握了能够用于后续身份验证的‘钥匙’，但尚未利用这些钥匙去访问其他系统或执行特权操作。攻击者目前处于‘拥有凭证但尚未利用’的状态。

[意图图谱映射]：结合 KG Context，Axiom、FIN6、Agrius 等组织在获取凭证（T1003）后，标准战术流程是立即利用这些凭证进行‘远程服务登录’或‘内部网络扫描’。KG Context 强调了 LSASS 内存转储（T1003.001）是获取凭证的关键手段，这直接指向了利用这些凭证进行横向移动。因此，下一步最",cat3_interface_gap_proof,1
69,T1001,T1025 || T1074 || T1074 || T1074 || T1114 || T1114 || T1056 || T1056 || T1113 || T1071 || T1071 || T1071 || T1092 || T1001,2,3,2,1,10.42133617401123,5.897320747375488,10.42133617401123,9.607013702392578,T1573 (10.56) | T1001 (10.42) | T1105 (10.36),T1071 (7.06) | T1132 (6.20) | T1001 (5.90),T1573 (10.56) | T1001 (10.42) | T1105 (10.36),T1001 (9.61) | T1105 (9.49) | T1573 (9.31),"[战术阶段评估]：前缀序列显示攻击者经历了数据收集（T1025 数据从本地系统）、数据操作（T1074 数据加密/压缩/隐藏、T1114 数据外传、T1056 凭据窃取、T1113 屏幕捕获）以及通信建立（T1071 应用层协议、T1092 文件传输、T1001 数据编码）。最后两步 T1071（应用层协议）和 T1092（文件传输）结合 T1001（数据编码），表明攻击者正在利用特定的网络协议（如 HTTP/DNS）将处理过的数据（可能是凭据或屏幕截图）封装并传输到外部服务器。这标志着‘数据外传’（Exfiltration）阶段的高潮，且通信通道已建立。

[已获资产推演]：基于 T1056（凭据窃取）和 T1113（屏幕捕获），攻击者目前极可能已经获取了受害者的敏感凭据（如密码、哈希）或视觉信息。结合 T1074 的多次执行，数据可能已被加密或分块。攻击者现在拥有的是‘已窃取的数据’和‘已建立的 C2 通道’。

[意图图谱映射]：在成功外传数据后，攻击者的逻辑意图通常转向：1. 确认数据接收成功（Command and Control 的反馈）；2. 利用已获取的凭据进行横向移动",cat3_interface_gap_proof,1
125,T1204,T1059 || T1059 || T1203 || T1053 || T1053 || T1204 || T1204,2,1,2,1,7.960624694824219,8.158866882324219,7.960624694824219,7.996308326721191,T1547 (8.02) | T1204 (7.96) | T1047 (7.72),T1204 (8.16) | T1047 (7.13) | T1547 (6.70),T1547 (8.02) | T1204 (7.96) | T1047 (7.72),T1204 (8.00) | T1547 (7.78) | T1047 (7.61),"[战术阶段评估]：前缀序列以 T1053 (Scheduled Task/Job) 和 T1204 (User Execution) 结尾。T1204 代表攻击者正在诱导用户执行恶意载荷（如打开附件或点击链接），而紧随其后的 T1053 表明攻击者正在利用计划任务来维持持久性或执行后续命令。这标志着攻击正处于从‘初始访问/执行’向‘持久化/命令执行’过渡的关键阶段，且攻击者刚刚完成了载荷的交付与初步执行。

[已获资产推演]：基于 T1204 和 T1053 的组合，攻击者目前至少已经获得了目标主机的用户级权限（User Privilege）。T1204 的成功执行意味着恶意文件（如 RedCurl 或 RTM 相关的恶意文档）已被用户打开，从而在内存中或磁盘上释放了恶意代码。T1053 的后续出现暗示攻击者可能已经利用该权限创建了计划任务，或者正在尝试通过计划任务来确保恶意代码在重启后或特定时间再次运行。此时，攻击者尚未明确展示提权（T1068）或横向移动（T1021）的迹象，但已具备在单台主机上执行任意命令的能力。

[意图图谱映射]：结合 KG Context，RedCurl、M",cat3_interface_gap_proof,1
145,T1556,T1218 || T1550 || T1550 || T1550 || T1078 || T1078 || T1078 || T1586 || T1110 || T1110 || T1110 || T1555 || T1606 || T1606 || T1606,2,1,2,1,7.751455783843994,4.499953269958496,7.751455783843994,7.16618537902832,T1555 (8.17) | T1556 (7.75) | T1003 (7.21),T1556 (4.50) | T1606 (3.43) | T1078 (3.02),T1555 (8.17) | T1556 (7.75) | T1003 (7.21),T1556 (7.17) | T1555 (6.32) | T1003 (6.25),"[战术阶段评估]：攻击前缀序列显示攻击者经历了初始访问（T1218）、凭证窃取（T1550）、账户创建/滥用（T1078）、凭证收集（T1586, T1110）以及凭据转储（T1555）。序列最后连续三次出现 T1606（伪造身份），结合 KG Context 中关于 SolarWinds 和 AADInternals 利用 SAML 令牌或 Web Cookie 绕过 MFA 的描述，表明攻击者正处于‘身份伪造与权限维持’的关键阶段，试图通过伪造高价值身份（如管理员或特权用户）来绕过防御机制。[已获资产推演]：基于 T1555（凭据转储）和 T1110（暴力破解/凭证猜测）的连续执行，攻击者已获取了本地或域内的明文/哈希凭据。结合 T1606 的上下文，攻击者目前掌握了能够生成伪造 SAML 令牌或 Web Cookie 的私钥或证书信息，具备了在云环境（如 Azure AD）或 Web 应用中冒充合法用户的‘伪身份’资产。[意图图谱映射]：KG Context 明确指出 T1606 常用于绕过 MFA 以获取对 OWA 或云服务的访问。在成功伪造身份（T1606）后，攻击者的逻辑下",cat3_interface_gap_proof,1
666,T1583,T1589 || T1589 || T1598 || T1192,2,1,2,1,9.814591407775879,8.277000427246094,9.814591407775879,9.537825584411621,T1192 (9.94) | T1583 (9.81) | T1587 (8.74),T1583 (8.28) | T1594 (5.41) | T1590 (4.82),T1192 (9.94) | T1583 (9.81) | T1587 (8.74),T1583 (9.54) | T1192 (8.86) | T1590 (7.70),"[战术阶段评估]：前缀序列以 T1589 (Reconnaissance) 开始，随后重复 T1589，接着是 T1598 (Active Scanning/Network Monitoring)，最后一步是 T1192 (Gather Victim Identity Information)。这表明攻击者处于侦察阶段（Reconnaissance）的收尾期。T1589 和 T1598 侧重于收集公开信息和扫描网络，而 T1192 明确指向收集受害者身份信息（如姓名、职位、部门等）。

[已获资产推演]：基于 T1589.002 (Email Addresses) 和 T1192 的组合，攻击者目前掌握了目标组织的“身份图谱”和“通信渠道”。他们不仅知道目标是谁，还掌握了具体的联系人邮箱和身份信息。这构成了社会工程学攻击（特别是鱼叉式网络钓鱼）的核心素材。

[意图图谱映射]：在 ATT&CK 战术逻辑中，完成身份和邮箱收集（T1589/T1192）后的标准下一步是发起初始访问（Initial Access）。攻击者极大概率会利用收集到的邮箱和身份信息，构造针对性的鱼叉式网络钓鱼邮件（",cat3_interface_gap_proof,1
